Unnamed: 0	chrom	end	start	strand	disruption_SCD	insertion_SCD	orientation	background_index	flank_bp	spacer_bp
206	chr3	133314669	133314650	+	34.97	39.0	>	0	30	60
207	chr1	96801850	96801831	-	34.84	30.55	>	0	30	60
208	chr7	115216958	115216939	+	34.62	30.45	>	0	30	60
209	chr9	59282577	59282558	-	34.62	26.88	>	0	30	60
210	chr2	148112135	148112116	-	34.5	31.5	>	0	30	60
211	chr18	52457916	52457897	-	34.47	28.2	>	0	30	60
212	chr6	56691454	56691435	-	34.34	42.2	>	0	30	60
213	chr13	20292580	20292561	-	34.3	38.5	>	0	30	60
214	chr13	57260119	57260100	-	34.25	52.66	>	0	30	60
215	chr13	113877615	113877596	+	34.25	36.75	>	0	30	60
216	chr13	116715029	116715010	-	34.1	31.72	>	0	30	60
217	chr4	83596692	83596673	-	34.1	52.75	>	0	30	60
218	chr8	64941619	64941600	-	34.06	33.75	>	0	30	60
219	chr3	51701488	51701469	+	34.03	22.56	>	0	30	60
220	chr14	120061322	120061303	-	33.84	29.2	>	0	30	60
221	chr7	75910166	75910147	+	33.8	57.6	>	0	30	60
222	chr4	98702698	98702679	-	33.78	31.62	>	0	30	60
223	chr3	146185137	146185118	+	33.62	52.6	>	0	30	60
224	chr4	151157152	151157133	+	33.53	59.38	>	0	30	60
225	chr5	43391861	43391842	-	33.5	21.5	>	0	30	60
226	chr11	93856511	93856492	-	33.47	26.19	>	0	30	60
227	chr14	59605843	59605824	+	33.47	40.3	>	0	30	60
228	chr14	84438580	84438561	+	33.44	23.31	>	0	30	60
229	chr12	50943824	50943805	-	33.28	38.56	>	0	30	60
230	chr7	83550335	83550316	-	33.2	30.12	>	0	30	60
231	chr6	117167008	117166989	+	33.03	30.3	>	0	30	60
232	chr4	12538791	12538772	+	33.0	21.84	>	0	30	60
233	chr18	47353079	47353060	+	32.84	24.58	>	0	30	60
234	chr5	12541496	12541477	-	32.72	22.56	>	0	30	60
235	chr2	60721127	60721108	+	32.72	22.53	>	0	30	60
236	chr11	78838251	78838232	+	32.72	51.5	>	0	30	60
237	chr8	73356225	73356206	+	32.62	23.39	>	0	30	60
238	chr12	10598567	10598548	+	32.5	41.56	>	0	30	60
239	chr19	20345158	20345139	-	32.25	47.94	>	0	30	60
240	chr17	58909486	58909467	-	32.16	39.4	>	0	30	60
241	chr10	69655037	69655018	-	32.12	36.56	>	0	30	60
242	chr4	3967733	3967714	-	32.12	41.75	>	0	30	60
243	chr16	21192795	21192776	-	32.06	38.78	>	0	30	60
244	chr11	12291593	12291574	-	32.0	15.54	>	0	30	60
245	chr11	117385082	117385063	+	31.83	36.6	>	0	30	60
246	chr12	32292095	32292076	+	31.73	20.83	>	0	30	60
247	chr4	64833096	64833077	+	31.69	34.34	>	0	30	60
248	chr13	47301245	47301226	+	31.67	43.9	>	0	30	60
249	chr1	89631957	89631938	-	31.56	45.38	>	0	30	60
250	chr9	69296601	69296582	-	31.53	38.66	>	0	30	60
251	chr3	53735364	53735345	+	31.28	24.5	>	0	30	60
252	chr10	45373471	45373452	-	31.2	37.7	>	0	30	60
253	chr8	91797725	91797706	+	31.19	30.23	>	0	30	60
254	chr4	88035662	88035643	+	31.06	19.66	>	0	30	60
255	chr2	75151187	75151168	-	31.05	37.9	>	0	30	60
256	chr14	66791971	66791952	-	31.02	32.1	>	0	30	60
257	chr2	93199062	93199043	-	30.9	51.25	>	0	30	60
258	chr2	73551006	73550987	+	30.86	53.72	>	0	30	60
259	chr12	89451144	89451125	-	30.81	40.1	>	0	30	60
260	chr16	66086729	66086710	-	30.81	33.7	>	0	30	60
261	chr14	114791647	114791628	-	30.72	37.2	>	0	30	60
262	chr4	43420547	43420528	-	30.61	34.5	>	0	30	60
263	chr1	87447687	87447668	+	30.56	32.53	>	0	30	60
264	chr15	55306471	55306452	+	30.56	24.06	>	0	30	60
265	chr15	97667578	97667559	+	30.52	37.12	>	0	30	60
266	chr2	16359548	16359529	+	30.47	16.92	>	0	30	60
267	chr14	8356099	8356080	+	30.42	51.06	>	0	30	60
268	chr3	19894816	19894797	-	30.38	33.66	>	0	30	60
269	chr12	43813750	43813731	-	30.34	24.06	>	0	30	60
270	chr2	27770378	27770359	+	30.12	46.8	>	0	30	60
271	chr16	48675836	48675817	-	30.12	28.97	>	0	30	60
272	chr10	13016733	13016714	+	30.1	53.44	>	0	30	60
273	chr2	76367359	76367340	+	30.05	30.6	>	0	30	60
274	chr2	115515230	115515211	+	30.05	12.29	>	0	30	60
275	chr19	16785108	16785089	-	30.03	27.4	>	0	30	60
276	chr3	78948444	78948425	+	30.03	29.16	>	0	30	60
277	chr1	37250876	37250857	-	29.94	25.45	>	0	30	60
278	chr18	74431409	74431390	+	29.94	28.48	>	0	30	60
279	chr1	38787652	38787633	-	29.89	46.22	>	0	30	60
280	chr3	14874584	14874565	+	29.88	22.88	>	0	30	60
281	chr9	69505778	69505759	+	29.88	30.58	>	0	30	60
282	chr10	84450913	84450894	-	29.77	31.7	>	0	30	60
283	chr2	172216047	172216028	-	29.77	65.06	>	0	30	60
284	chr10	97712895	97712876	+	29.72	22.83	>	0	30	60
285	chr1	4770074	4770055	+	29.72	39.66	>	0	30	60
286	chr12	50301580	50301561	-	29.69	16.55	>	0	30	60
287	chr15	85266923	85266904	+	29.69	42.06	>	0	30	60
288	chr4	85403030	85403011	+	29.62	27.23	>	0	30	60
289	chr6	97526370	97526351	-	29.53	31.17	>	0	30	60
290	chr8	112046096	112046077	+	29.5	62.6	>	0	30	60
291	chr12	96311368	96311349	-	29.48	23.8	>	0	30	60
292	chr1	93507239	93507220	-	29.45	32.5	>	0	30	60
293	chr13	21714927	21714908	+	29.4	37.72	>	0	30	60
294	chr6	49008180	49008161	+	29.38	27.1	>	0	30	60
295	chr17	17749545	17749526	-	29.36	32.88	>	0	30	60
296	chr6	145360253	145360234	+	29.34	33.62	>	0	30	60
297	chr7	17066630	17066611	-	29.27	41.75	>	0	30	60
298	chr12	81788850	81788831	-	29.25	32.47	>	0	30	60
299	chr7	129649172	129649153	+	29.19	42.88	>	0	30	60
300	chr14	104039053	104039034	+	29.17	41.16	>	0	30	60
301	chr13	41634744	41634725	-	29.08	40.84	>	0	30	60
302	chr7	138835232	138835213	-	29.02	47.88	>	0	30	60
303	chr15	97195797	97195778	+	28.92	38.5	>	0	30	60
304	chr1	119087737	119087718	+	28.89	50.28	>	0	30	60
305	chr4	85819373	85819354	-	28.86	29.28	>	0	30	60
306	chr11	30657307	30657288	-	28.86	6.477	>	0	30	60
307	chr5	49369245	49369226	+	28.66	27.94	>	0	30	60
308	chr6	106805067	106805048	+	28.61	20.38	>	0	30	60
309	chr6	31660958	31660939	+	28.53	52.9	>	0	30	60
310	chr12	8306749	8306730	-	28.48	47.94	>	0	30	60
311	chr13	42822785	42822766	-	28.47	44.4	>	0	30	60
312	chr15	34968778	34968759	+	28.4	27.94	>	0	30	60
313	chr7	68369859	68369840	+	28.38	58.97	>	0	30	60
314	chr15	80266443	80266424	+	28.33	34.62	>	0	30	60
315	chr6	102171110	102171091	+	28.19	24.06	>	0	30	60
316	chr16	72605273	72605254	-	28.11	17.7	>	0	30	60
317	chr18	65490506	65490487	+	28.06	33.94	>	0	30	60
318	chr3	55373775	55373756	+	28.0	19.75	>	0	30	60
319	chr1	53927814	53927795	-	27.97	28.48	>	0	30	60
320	chr2	160368066	160368047	-	27.95	21.97	>	0	30	60
321	chr10	42295232	42295213	-	27.94	37.8	>	0	30	60
322	chr7	116040411	116040392	-	27.9	26.19	>	0	30	60
323	chr10	116197535	116197516	-	27.81	28.58	>	0	30	60
324	chr5	20773533	20773514	-	27.81	20.77	>	0	30	60
325	chr12	80725012	80724993	-	27.73	38.97	>	0	30	60
326	chr15	66899881	66899862	-	27.6	21.5	>	0	30	60
327	chr18	16822208	16822189	-	27.56	13.28	>	0	30	60
328	chr18	14503254	14503235	-	27.55	19.48	>	0	30	60
329	chr5	98344786	98344767	+	27.44	28.3	>	0	30	60
330	chr10	77517236	77517217	+	27.39	30.44	>	0	30	60
331	chr1	44741472	44741453	-	27.38	6.344	>	0	30	60
332	chr6	127945983	127945964	-	27.28	24.97	>	0	30	60
333	chr16	42914955	42914936	-	27.27	20.78	>	0	30	60
334	chr18	39137558	39137539	+	27.11	15.805	>	0	30	60
335	chr13	42575907	42575888	+	27.11	22.34	>	0	30	60
336	chr2	13278209	13278190	+	27.06	48.53	>	0	30	60
337	chr18	43836585	43836566	-	27.06	22.66	>	0	30	60
338	chr4	114647896	114647877	+	27.05	26.58	>	0	30	60
339	chr16	44149214	44149195	-	27.03	37.28	>	0	30	60
340	chr13	109776299	109776280	+	27.02	27.47	>	0	30	60
341	chr19	30217515	30217496	+	27.0	44.25	>	0	30	60
342	chr6	61316075	61316056	+	26.94	38.16	>	0	30	60
343	chr17	78598832	78598813	+	26.92	37.16	>	0	30	60
344	chr2	117231457	117231438	-	26.88	23.62	>	0	30	60
345	chr4	115101816	115101797	+	26.84	34.88	>	0	30	60
346	chr10	57448131	57448112	-	26.8	44.97	>	0	30	60
347	chr13	113046665	113046646	+	26.77	22.72	>	0	30	60
348	chr4	110022447	110022428	-	26.58	43.47	>	0	30	60
349	chr7	101653829	101653810	+	26.5	47.97	>	0	30	60
350	chr5	67756338	67756319	+	26.5	26.55	>	0	30	60
351	chr3	62192717	62192698	-	26.5	17.1	>	0	30	60
352	chr10	17728146	17728127	-	26.45	14.96	>	0	30	60
353	chr5	37752557	37752538	-	26.33	30.73	>	0	30	60
354	chr1	60961316	60961297	-	26.3	26.22	>	0	30	60
355	chr17	68176981	68176962	+	26.27	18.84	>	0	30	60
356	chr7	37357871	37357852	-	26.2	67.6	>	0	30	60
357	chr4	32572316	32572297	-	26.16	44.75	>	0	30	60
358	chr4	96696741	96696722	+	26.12	32.22	>	0	30	60
359	chr4	109729491	109729472	-	26.06	50.3	>	0	30	60
360	chr10	111977780	111977761	+	25.78	32.1	>	0	30	60
361	chr5	45424489	45424470	-	25.73	30.9	>	0	30	60
362	chr2	61494577	61494558	-	25.72	22.25	>	0	30	60
363	chr6	13287046	13287027	+	25.69	21.62	>	0	30	60
364	chr9	116060829	116060810	+	25.66	36.5	>	0	30	60
365	chr8	17537753	17537734	-	25.64	36.44	>	0	30	60
366	chr9	77781636	77781617	-	25.62	27.94	>	0	30	60
367	chr15	5106460	5106441	-	25.56	29.45	>	0	30	60
368	chr17	93141334	93141315	-	25.53	33.03	>	0	30	60
369	chr6	97759520	97759501	+	25.52	17.88	>	0	30	60
370	chr8	119384750	119384731	-	25.47	45.94	>	0	30	60
371	chr6	88113322	88113303	+	25.38	41.75	>	0	30	60
372	chr15	101984527	101984508	-	25.38	56.7	>	0	30	60
373	chr8	54493335	54493316	-	25.34	39.7	>	0	30	60
374	chr9	24119622	24119603	+	25.33	14.83	>	0	30	60
375	chr3	50077169	50077150	-	25.31	24.22	>	0	30	60
376	chr4	47419767	47419748	+	25.23	44.03	>	0	30	60
377	chr2	76115910	76115891	+	25.22	28.97	>	0	30	60
378	chr15	67174759	67174740	+	25.2	12.74	>	0	30	60
379	chr8	125574509	125574490	+	25.17	12.85	>	0	30	60
380	chr1	161737065	161737046	-	25.11	39.75	>	0	30	60
381	chr3	85571455	85571436	-	25.1	9.7	>	0	30	60
382	chr18	19577078	19577059	-	25.02	27.28	>	0	30	60
383	chr19	36083087	36083068	-	25.0	29.4	>	0	30	60
384	chr8	115709616	115709597	-	24.98	9.14	>	0	30	60
385	chr10	126330794	126330775	-	24.84	24.02	>	0	30	60
386	chr15	25993551	25993532	+	24.81	33.28	>	0	30	60
387	chr5	131430355	131430336	-	24.78	45.44	>	0	30	60
388	chr1	9545352	9545333	-	24.78	38.06	>	0	30	60
389	chr19	28768445	28768426	-	24.75	36.44	>	0	30	60
390	chr10	24630876	24630857	+	24.72	22.94	>	0	30	60
391	chr17	54351102	54351083	+	24.53	15.79	>	0	30	60
392	chr16	20496806	20496787	+	24.47	28.86	>	0	30	60
393	chr12	109394024	109394005	-	24.44	15.02	>	0	30	60
394	chr13	21803288	21803269	-	24.42	40.1	>	0	30	60
395	chr3	103392995	103392976	+	24.38	33.9	>	0	30	60
396	chr15	25428758	25428739	+	24.31	24.08	>	0	30	60
397	chr3	135206860	135206841	-	24.3	9.21	>	0	30	60
398	chr8	65139261	65139242	+	24.3	33.56	>	0	30	60
399	chr9	29650850	29650831	-	24.23	35.72	>	0	30	60
400	chr3	127971093	127971074	+	24.2	46.1	>	0	30	60
401	chr2	104035038	104035019	+	24.16	33.7	>	0	30	60
402	chr9	81635302	81635283	+	24.11	12.08	>	0	30	60
403	chr6	95484597	95484578	+	24.03	13.41	>	0	30	60
404	chr14	72293991	72293972	-	23.83	34.2	>	0	30	60
405	chr18	65490035	65490016	-	23.72	29.94	>	0	30	60
406	chr12	38123788	38123769	-	23.66	16.0	>	0	30	60
407	chr18	70184838	70184819	-	23.66	11.39	>	0	30	60
408	chr3	152095252	152095233	-	23.53	23.67	>	0	30	60
409	chr8	32002994	32002975	-	23.5	23.94	>	0	30	60
410	chr11	22206830	22206811	-	23.48	11.1	>	0	30	60
411	chr5	76541051	76541032	-	23.44	19.22	>	0	30	60
412	chr10	52106337	52106318	+	23.38	22.61	>	0	30	60
413	chr1	84697462	84697443	-	23.38	25.22	>	0	30	60
414	chr1	67181385	67181366	+	23.34	35.0	>	0	30	60
415	chr6	101267027	101267008	+	23.31	12.77	>	0	30	60
416	chr6	129255175	129255156	-	23.25	41.8	>	0	30	60
417	chr4	115710017	115709998	-	23.19	25.83	>	0	30	60
418	chr2	118241614	118241595	-	23.19	37.16	>	0	30	60
419	chr8	71371784	71371765	+	23.11	28.11	>	0	30	60
420	chr7	73422670	73422651	-	23.11	37.7	>	0	30	60
421	chr5	33039602	33039583	+	23.05	27.48	>	0	30	60
422	chr2	153143004	153142985	-	23.02	20.31	>	0	30	60
423	chr14	98181824	98181805	-	23.0	7.93	>	0	30	60
424	chr2	136887058	136887039	-	22.97	12.49	>	0	30	60
425	chr1	135136701	135136682	-	22.88	42.44	>	0	30	60
426	chr5	4948481	4948462	-	22.86	27.0	>	0	30	60
427	chr10	71422814	71422795	+	22.81	51.25	>	0	30	60
428	chr8	64597251	64597232	-	22.66	30.06	>	0	30	60
429	chr1	162336834	162336815	-	22.45	14.914	>	0	30	60
430	chr9	94738996	94738977	+	22.42	42.94	>	0	30	60
431	chr17	53403136	53403117	+	22.4	18.28	>	0	30	60
432	chr2	155811920	155811901	-	22.36	51.28	>	0	30	60
