chrom	start	end	boundary_span	jaspar_score	strand	FDR	DETECTION_SCALE	seq_id	background_index	exp_id	orientation	flank_bp	spacer_bp
chr1	40548254	40548273	40540000-40550000	820.0	+	0.0498790000094483	2.111212657236631	29	0	29	<>	30	60
chr1	40544846	40544865	40540000-40550000	969.0	-	0.0498790000094483	2.111212657236631	30	0	30	<>	30	60
chr1	40543050	40543069	40540000-40550000	840.0	-	0.0498790000094483	2.111212657236631	31	0	31	<>	30	60
chr1	39686035	39686054	39680000-39690000	930.0	+	0.0498790000094483	2.111212657236631	32	0	32	<>	30	60
chr9	20842857	20842876	20840000-20850000	847.0	-	0.0498662778395452	2.111212657236631	33	0	33	<>	30	60
chr9	20849209	20849228	20840000-20850000	835.0	+	0.0498662778395452	2.111212657236631	34	0	34	<>	30	60
chr9	20674721	20674740	20670000-20680000	847.0	+	0.0498662778395452	2.111212657236631	35	0	35	<>	30	60
chr9	20846253	20846272	20840000-20850000	801.0	+	0.0498662778395452	2.111212657236631	36	0	36	<>	30	60
chr9	20669986	20670005	20670000-20680000	807.0	-	0.0498662778395452	2.111212657236631	37	0	37	<>	30	60
chr9	7052584	7052603	7050000-7060000	804.0	+	0.0498399352737264	2.111212657236631	38	0	38	<>	30	60
chr9	11211510	11211529	11210000-11220000	826.0	-	0.0498399352737264	2.599207668339954	39	0	39	<>	30	60
chr9	4526578	4526597	4520000-4530000	803.0	+	0.0498399352737264	2.599207668339954	40	0	40	<>	30	60
chr12	107992753	107992772	107990000-108000000	814.0	-	0.0498358904188693	2.111212657236631	41	0	41	<>	30	60
chr12	107086423	107086442	107080000-107090000	925.0	+	0.0498358904188693	2.111212657236631	42	0	42	<>	30	60
chr12	107082580	107082599	107080000-107090000	803.0	+	0.0498358904188693	2.111212657236631	43	0	43	<>	30	60
chr12	107087711	107087730	107080000-107090000	819.0	-	0.0498358904188693	2.111212657236631	44	0	44	<>	30	60
chr12	107083310	107083329	107080000-107090000	822.0	+	0.0498358904188693	2.111212657236631	45	0	45	<>	30	60
chr12	107990764	107990783	107990000-108000000	809.0	-	0.0498358904188693	2.111212657236631	46	0	46	<>	30	60
chr12	107994172	107994191	107990000-108000000	845.0	+	0.0498358904188693	2.111212657236631	47	0	47	<>	30	60
chr12	107086072	107086091	107080000-107090000	800.0	-	0.0498358904188693	2.111212657236631	48	0	48	<>	30	60
chr12	107998948	107998967	107990000-108000000	847.0	-	0.0498358904188693	2.111212657236631	49	0	49	<>	30	60
chr12	107993066	107993085	107990000-108000000	806.0	+	0.0498358904188693	2.111212657236631	50	0	50	<>	30	60
chr19	34677345	34677364	34670000-34680000	841.0	+	0.0498191004886099	2.111212657236631	51	0	51	<>	30	60
chr19	36079936	36079955	36070000-36080000	850.0	+	0.0498191004886099	2.111212657236631	52	0	52	<>	30	60
chr19	34671898	34671917	34670000-34680000	809.0	+	0.0498191004886099	2.111212657236631	53	0	53	<>	30	60
chr19	36079647	36079666	36070000-36080000	813.0	+	0.0498191004886099	2.111212657236631	54	0	54	<>	30	60
chr7	109422949	109422968	109420000-109430000	801.0	+	0.0498070252766716	2.111212657236631	55	0	55	<>	30	60
chr7	109239332	109239351	109230000-109240000	827.0	-	0.0498070252766716	2.111212657236631	56	0	56	<>	30	60
chr7	109235442	109235461	109230000-109240000	826.0	+	0.0498070252766716	2.111212657236631	57	0	57	<>	30	60
chr7	92107854	92107873	92100000-92110000	826.0	+	0.0498070252766716	2.599207668339954	58	0	58	<>	30	60
chr7	92828259	92828278	92820000-92830000	802.0	-	0.0498070252766716	2.599207668339954	59	0	59	<>	30	60
chr7	92821678	92821697	92820000-92830000	830.0	-	0.0498070252766716	2.599207668339954	60	0	60	<>	30	60
chr7	92827531	92827550	92820000-92830000	811.0	-	0.0498070252766716	2.599207668339954	61	0	61	<>	30	60
chr7	109230903	109230922	109230000-109240000	887.0	+	0.0498070252766716	2.111212657236631	62	0	62	<>	30	60
chr7	109231647	109231666	109230000-109240000	801.0	-	0.0498070252766716	2.111212657236631	63	0	63	<>	30	60
chr7	109234808	109234827	109230000-109240000	833.0	+	0.0498070252766716	2.111212657236631	64	0	64	<>	30	60
chr7	109234985	109235004	109230000-109240000	826.0	+	0.0498070252766716	2.111212657236631	65	0	65	<>	30	60
chr7	109424738	109424757	109420000-109430000	863.0	-	0.0498070252766716	2.111212657236631	66	0	66	<>	30	60
chr7	92105669	92105688	92100000-92110000	878.0	+	0.0498070252766716	2.599207668339954	67	0	67	<>	30	60
chr7	92103067	92103086	92100000-92110000	840.0	+	0.0498070252766716	2.599207668339954	68	0	68	<>	30	60
chr7	109423117	109423136	109420000-109430000	840.0	+	0.0498070252766716	2.111212657236631	69	0	69	<>	30	60
chr18	32287087	32287106	32280000-32290000	813.0	-	0.0497866563756521	2.111212657236631	70	0	70	<>	30	60
chr18	32435582	32435601	32430000-32440000	825.0	-	0.0497866563756521	2.111212657236631	71	0	71	<>	30	60
chr18	32285297	32285316	32280000-32290000	913.0	+	0.0497866563756521	2.111212657236631	72	0	72	<>	30	60
chr18	32432474	32432493	32430000-32440000	976.0	+	0.0497866563756521	2.111212657236631	73	0	73	<>	30	60
chr11	83795578	83795597	83790000-83800000	826.0	-	0.0497755004344651	3.2	74	0	74	<>	30	60
chr11	83792532	83792551	83790000-83800000	816.0	+	0.0497755004344651	3.2	75	0	75	<>	30	60
chr11	83793285	83793304	83790000-83800000	808.0	-	0.0497755004344651	3.2	76	0	76	<>	30	60
chr11	84032218	84032237	84030000-84040000	896.0	-	0.0497755004344651	3.2	77	0	77	<>	30	60
chr6	34760205	34760224	34760000-34770000	951.0	-	0.0497752903660729	2.111212657236631	78	0	78	<>	30	60
chr6	34762334	34762353	34760000-34770000	818.0	-	0.0497752903660729	2.111212657236631	79	0	79	<>	30	60
chr6	34761771	34761790	34760000-34770000	829.0	-	0.0497752903660729	2.111212657236631	80	0	80	<>	30	60
chr6	34768881	34768900	34760000-34770000	812.0	-	0.0497752903660729	2.111212657236631	81	0	81	<>	30	60
chr6	34760316	34760335	34760000-34770000	801.0	+	0.0497752903660729	2.111212657236631	82	0	82	<>	30	60
chr18	52952657	52952676	52950000-52960000	814.0	-	0.0497593183884764	2.111212657236631	83	0	83	<>	30	60
chr18	52956635	52956654	52950000-52960000	894.0	+	0.0497593183884764	2.111212657236631	84	0	84	<>	30	60
chr18	53253124	53253143	53250000-53260000	812.0	+	0.0497593183884764	2.111212657236631	85	0	85	<>	30	60
chr18	53250199	53250218	53250000-53260000	820.0	+	0.0497593183884764	2.111212657236631	86	0	86	<>	30	60
chr18	52952210	52952229	52950000-52960000	803.0	+	0.0497593183884764	2.111212657236631	87	0	87	<>	30	60
chr14	12027149	12027168	12020000-12030000	807.0	+	0.0497507784150243	2.111212657236631	88	0	88	<>	30	60
chr14	12137635	12137654	12130000-12140000	800.0	+	0.0497507784150243	2.111212657236631	89	0	89	<>	30	60
chr14	12139254	12139273	12130000-12140000	841.0	+	0.0497507784150243	2.111212657236631	90	0	90	<>	30	60
chr14	12028902	12028921	12020000-12030000	815.0	-	0.0497507784150243	2.111212657236631	91	0	91	<>	30	60
chr7	48749365	48749384	48740000-48750000	904.0	+	0.0497487672458621	2.111212657236631	92	0	92	<>	30	60
chr15	28024430	28024449	28020000-28030000	803.0	-	0.049711047227682	2.111212657236631	93	0	93	<>	30	60
chr15	28020253	28020272	28020000-28030000	809.0	+	0.049711047227682	2.111212657236631	94	0	94	<>	30	60
chr15	28179810	28179829	28170000-28180000	825.0	-	0.049711047227682	2.111212657236631	95	0	95	<>	30	60
chr15	28177057	28177076	28170000-28180000	855.0	+	0.049711047227682	2.111212657236631	96	0	96	<>	30	60
chr15	28025763	28025782	28020000-28030000	801.0	+	0.049711047227682	2.111212657236631	97	0	97	<>	30	60
chr15	28026275	28026294	28020000-28030000	814.0	+	0.049711047227682	2.111212657236631	98	0	98	<>	30	60
chr15	28020613	28020632	28020000-28030000	817.0	-	0.049711047227682	2.111212657236631	99	0	99	<>	30	60
chr1	155537447	155537466	155530000-155540000	931.0	-	0.0497036960801147	2.111212657236631	100	0	100	<>	30	60
chr3	56000457	56000476	56000000-56010000	935.0	+	0.0496629317102151	3.6758347359905126	101	0	101	<>	30	60
chr3	57004852	57004871	57000000-57010000	904.0	-	0.0496629317102151	3.6758347359905126	102	0	102	<>	30	60
chr3	56008148	56008167	56000000-56010000	960.0	+	0.0496629317102151	3.6758347359905126	103	0	103	<>	30	60
chr3	56009457	56009476	56000000-56010000	850.0	+	0.0496629317102151	3.6758347359905126	104	0	104	<>	30	60
chr3	57004112	57004131	57000000-57010000	868.0	-	0.0496629317102151	3.6758347359905126	105	0	105	<>	30	60
chr16	47765959	47765978	47760000-47770000	848.0	-	0.0496453883677788	2.599207668339954	106	0	106	<>	30	60
chr2	104035316	104035335	104030000-104040000	833.0	+	0.0496225989671819	2.111212657236631	107	0	107	<>	30	60
chr2	104035019	104035038	104030000-104040000	886.0	+	0.0496225989671819	2.111212657236631	108	0	108	<>	30	60
chr2	104578988	104579007	104570000-104580000	844.0	+	0.0496225989671819	2.111212657236631	109	0	109	<>	30	60
chr13	78953039	78953058	78950000-78960000	830.0	+	0.0496160859035752	2.599207668339954	110	0	110	<>	30	60
chr13	78202258	78202277	78200000-78210000	815.0	-	0.0496160859035752	2.599207668339954	111	0	111	<>	30	60
chr13	78201735	78201754	78200000-78210000	870.0	-	0.0496160859035752	2.599207668339954	112	0	112	<>	30	60
chr8	34189004	34189023	34180000-34190000	801.0	+	0.0496152826439862	3.2	113	0	113	<>	30	60
chr8	34187001	34187020	34180000-34190000	849.0	+	0.0496152826439862	3.2	114	0	114	<>	30	60
chr8	35837931	35837950	35830000-35840000	802.0	-	0.0496152826439862	3.2	115	0	115	<>	30	60
chr8	34180069	34180088	34180000-34190000	929.0	+	0.0496152826439862	3.2	116	0	116	<>	30	60
chr12	26296192	26296211	26290000-26300000	906.0	-	0.0495920087075929	2.111212657236631	117	0	117	<>	30	60
chr12	25170772	25170791	25170000-25180000	841.0	+	0.0495920087075929	2.111212657236631	118	0	118	<>	30	60
chr12	25175575	25175594	25170000-25180000	856.0	-	0.0495920087075929	2.111212657236631	119	0	119	<>	30	60
chr5	148793250	148793269	148790000-148800000	886.0	-	0.0495689912438724	2.111212657236631	120	0	120	<>	30	60
chr5	148791391	148791410	148790000-148800000	842.0	-	0.0495689912438724	2.111212657236631	121	0	121	<>	30	60
chr5	148795957	148795976	148790000-148800000	800.0	-	0.0495689912438724	2.111212657236631	122	0	122	<>	30	60
chr5	148794549	148794568	148790000-148800000	830.0	+	0.0495689912438724	2.111212657236631	123	0	123	<>	30	60
chr5	148325472	148325491	148320000-148330000	883.0	+	0.0495689912438724	2.111212657236631	124	0	124	<>	30	60
chr5	148325312	148325331	148320000-148330000	880.0	+	0.0495689912438724	2.111212657236631	125	0	125	<>	30	60
chr5	148325807	148325826	148320000-148330000	808.0	-	0.0495689912438724	2.111212657236631	126	0	126	<>	30	60
chr5	148329563	148329582	148320000-148330000	814.0	-	0.0495689912438724	2.111212657236631	127	0	127	<>	30	60
chr5	148799721	148799740	148790000-148800000	827.0	-	0.0495689912438724	2.111212657236631	128	0	128	<>	30	60
chr5	148794781	148794800	148790000-148800000	823.0	+	0.0495689912438724	2.111212657236631	129	0	129	<>	30	60
chr5	148794685	148794704	148790000-148800000	917.0	-	0.0495689912438724	2.111212657236631	130	0	130	<>	30	60
chr5	148792844	148792863	148790000-148800000	819.0	-	0.0495689912438724	2.111212657236631	131	0	131	<>	30	60
chr1	115686669	115686688	115680000-115690000	856.0	+	0.0495396584708573	2.599207668339954	132	0	132	<>	30	60
chr1	115684672	115684691	115680000-115690000	801.0	+	0.0495396584708573	2.599207668339954	133	0	133	<>	30	60
chr15	21540388	21540407	21540000-21550000	816.0	-	0.0495234203470212	2.599207668339954	134	0	134	<>	30	60
chr5	118020395	118020414	118020000-118030000	817.0	-	0.0495128808511362	2.111212657236631	135	0	135	<>	30	60
chr5	119806930	119806949	119800000-119810000	811.0	+	0.0495128808511362	2.111212657236631	136	0	136	<>	30	60
chr5	119804782	119804801	119800000-119810000	806.0	+	0.0495128808511362	2.111212657236631	137	0	137	<>	30	60
chr5	119800368	119800387	119800000-119810000	805.0	-	0.0495128808511362	2.111212657236631	138	0	138	<>	30	60
chr5	118029750	118029769	118020000-118030000	804.0	+	0.0495128808511362	2.111212657236631	139	0	139	<>	30	60
chr3	49266236	49266255	49260000-49270000	865.0	+	0.049501844909294	2.111212657236631	140	0	140	<>	30	60
chr3	50074237	50074256	50070000-50080000	806.0	-	0.049501844909294	2.111212657236631	141	0	141	<>	30	60
chr3	50077150	50077169	50070000-50080000	930.0	-	0.049501844909294	2.111212657236631	142	0	142	<>	30	60
chr18	49486684	49486703	49480000-49490000	801.0	-	0.0494954260817792	2.111212657236631	143	0	143	<>	30	60
chr18	49488499	49488518	49480000-49490000	800.0	+	0.0494954260817792	2.111212657236631	144	0	144	<>	30	60
chr18	49480290	49480309	49480000-49490000	827.0	+	0.0494954260817792	2.111212657236631	145	0	145	<>	30	60
chr18	49361975	49361994	49360000-49370000	804.0	+	0.0494954260817792	2.111212657236631	146	0	146	<>	30	60
chr18	49488586	49488605	49480000-49490000	884.0	-	0.0494954260817792	2.111212657236631	147	0	147	<>	30	60
chr17	6037677	6037696	6030000-6040000	831.0	-	0.0494937464546349	4.222425314473262	148	0	148	<>	30	60
chr17	5439982	5440001	5430000-5440000	810.0	+	0.0494937464546349	4.222425314473262	149	0	149	<>	30	60
chr3	45558309	45558328	45550000-45560000	811.0	-	0.0494837348619422	2.111212657236631	150	0	150	<>	30	60
chr3	45555918	45555937	45550000-45560000	901.0	+	0.0494837348619422	2.111212657236631	151	0	151	<>	30	60
chr3	88607594	88607613	88600000-88610000	864.0	+	0.0494656111770853	2.111212657236631	152	0	152	<>	30	60
chr3	88742634	88742653	88740000-88750000	822.0	-	0.0494656111770853	2.111212657236631	153	0	153	<>	30	60
chr3	88607956	88607975	88600000-88610000	834.0	-	0.0494656111770853	2.111212657236631	154	0	154	<>	30	60
chr3	88606566	88606585	88600000-88610000	819.0	-	0.0494656111770853	2.111212657236631	155	0	155	<>	30	60
chr19	28175667	28175686	28170000-28180000	813.0	+	0.0494572145288576	2.111212657236631	156	0	156	<>	30	60
chr19	27447444	27447463	27440000-27450000	823.0	-	0.0494572145288576	2.111212657236631	157	0	157	<>	30	60
chr19	27442066	27442085	27440000-27450000	806.0	+	0.0494572145288576	2.111212657236631	158	0	158	<>	30	60
chr19	28178027	28178046	28170000-28180000	800.0	+	0.0494572145288576	2.111212657236631	159	0	159	<>	30	60
chr19	27447646	27447665	27440000-27450000	923.0	+	0.0494572145288576	2.111212657236631	160	0	160	<>	30	60
chr15	24589102	24589121	24580000-24590000	934.0	+	0.0494471390931672	2.111212657236631	161	0	161	<>	30	60
chr15	24589762	24589781	24580000-24590000	821.0	-	0.0494471390931672	2.111212657236631	162	0	162	<>	30	60
chr15	25497724	25497743	25490000-25500000	823.0	+	0.0494471390931672	2.111212657236631	163	0	163	<>	30	60
chr15	25495727	25495746	25490000-25500000	827.0	+	0.0494471390931672	2.111212657236631	164	0	164	<>	30	60
chr15	25493068	25493087	25490000-25500000	809.0	+	0.0494471390931672	2.111212657236631	165	0	165	<>	30	60
chr15	25497260	25497279	25490000-25500000	807.0	-	0.0494471390931672	2.111212657236631	166	0	166	<>	30	60
chr15	25494758	25494777	25490000-25500000	823.0	-	0.0494471390931672	2.111212657236631	167	0	167	<>	30	60
chr9	53644003	53644022	53640000-53650000	810.0	+	0.0494283394965072	2.111212657236631	168	0	168	<>	30	60
chr9	53645356	53645375	53640000-53650000	804.0	+	0.0494283394965072	2.111212657236631	169	0	169	<>	30	60
chr12	56534841	56534860	56530000-56540000	809.0	-	0.0493755241695803	4.222425314473262	170	0	170	<>	30	60
chr12	56533889	56533908	56530000-56540000	826.0	-	0.0493755241695803	4.222425314473262	171	0	171	<>	30	60
chr12	56534993	56535012	56530000-56540000	821.0	+	0.0493755241695803	4.222425314473262	172	0	172	<>	30	60
chr12	56530911	56530930	56530000-56540000	809.0	-	0.0493755241695803	4.222425314473262	173	0	173	<>	30	60
chr12	56536085	56536104	56530000-56540000	818.0	-	0.0493755241695803	4.222425314473262	174	0	174	<>	30	60
chr4	8085125	8085144	8080000-8090000	857.0	-	0.049356711272735	2.599207668339954	175	0	175	<>	30	60
chr4	8083924	8083943	8080000-8090000	804.0	+	0.049356711272735	2.599207668339954	176	0	176	<>	30	60
chr15	82450943	82450962	82450000-82460000	810.0	-	0.0493557188691682	3.2	177	0	177	<>	30	60
chr15	82453714	82453733	82450000-82460000	858.0	-	0.0493557188691682	3.2	178	0	178	<>	30	60
chr13	89342401	89342420	89340000-89350000	807.0	+	0.0493268589101816	2.111212657236631	179	0	179	<>	30	60
chr17	7825429	7825448	7820000-7830000	807.0	-	0.0493138676412939	3.2	180	0	180	<>	30	60
chr17	7821998	7822017	7820000-7830000	820.0	-	0.0493138676412939	3.2	181	0	181	<>	30	60
chr17	7826123	7826142	7820000-7830000	856.0	-	0.0493138676412939	3.2	182	0	182	<>	30	60
chr17	7827254	7827273	7820000-7830000	818.0	-	0.0493138676412939	3.2	183	0	183	<>	30	60
chr17	7827341	7827360	7820000-7830000	823.0	-	0.0493138676412939	3.2	184	0	184	<>	30	60
chr8	57939644	57939663	57930000-57940000	938.0	+	0.0493025005327295	3.2	185	0	185	<>	30	60
chr8	57933809	57933828	57930000-57940000	871.0	+	0.0493025005327295	3.2	186	0	186	<>	30	60
chr9	110631382	110631401	110630000-110640000	871.0	-	0.0492970271202178	2.111212657236631	187	0	187	<>	30	60
chr9	110630343	110630362	110630000-110640000	810.0	-	0.0492970271202178	2.111212657236631	188	0	188	<>	30	60
chr9	110631100	110631119	110630000-110640000	810.0	+	0.0492970271202178	2.111212657236631	189	0	189	<>	30	60
chr9	122702430	122702449	122700000-122710000	892.0	+	0.0492970271202178	5.198415336679908	190	0	190	<>	30	60
chr9	110631838	110631857	110630000-110640000	802.0	-	0.0492970271202178	2.111212657236631	191	0	191	<>	30	60
chr9	110411060	110411079	110410000-110420000	841.0	+	0.0492970271202178	2.111212657236631	192	0	192	<>	30	60
chr9	110632337	110632356	110630000-110640000	840.0	-	0.0492970271202178	2.111212657236631	193	0	193	<>	30	60
chr9	110632831	110632850	110630000-110640000	815.0	+	0.0492970271202178	2.111212657236631	194	0	194	<>	30	60
chr9	110630910	110630929	110630000-110640000	821.0	-	0.0492970271202178	2.111212657236631	195	0	195	<>	30	60
chr9	110632983	110633002	110630000-110640000	804.0	-	0.0492970271202178	2.111212657236631	196	0	196	<>	30	60
chr9	110411692	110411711	110410000-110420000	903.0	+	0.0492970271202178	2.111212657236631	197	0	197	<>	30	60
chr9	110635422	110635441	110630000-110640000	922.0	+	0.0492970271202178	2.111212657236631	198	0	198	<>	30	60
chr9	110413976	110413995	110410000-110420000	950.0	+	0.0492970271202178	2.111212657236631	199	0	199	<>	30	60
chr9	122430912	122430931	122430000-122440000	857.0	-	0.0492970271202178	5.198415336679908	200	0	200	<>	30	60
chr9	110636431	110636450	110630000-110640000	814.0	+	0.0492970271202178	2.111212657236631	201	0	201	<>	30	60
chr9	110638902	110638921	110630000-110640000	832.0	+	0.0492970271202178	2.111212657236631	202	0	202	<>	30	60
chr9	110417309	110417328	110410000-110420000	832.0	-	0.0492970271202178	2.111212657236631	203	0	203	<>	30	60
chr9	110630706	110630725	110630000-110640000	808.0	+	0.0492970271202178	2.111212657236631	204	0	204	<>	30	60
chr2	96316729	96316748	96310000-96320000	913.0	-	0.0492891656563037	2.599207668339954	205	0	205	<>	30	60
chr2	94267539	94267558	94260000-94270000	814.0	+	0.0492891656563037	3.6758347359905126	206	0	206	<>	30	60
chr2	103349876	103349895	103340000-103350000	812.0	+	0.0492891656563037	3.2	207	0	207	<>	30	60
chr2	94479899	94479918	94470000-94480000	819.0	-	0.0492891656563037	2.599207668339954	208	0	208	<>	30	60
chr2	103349615	103349634	103340000-103350000	808.0	-	0.0492891656563037	3.2	209	0	209	<>	30	60
chr2	94470909	94470928	94470000-94480000	874.0	+	0.0492891656563037	2.599207668339954	210	0	210	<>	30	60
chr2	94471433	94471452	94470000-94480000	834.0	+	0.0492891656563037	2.599207668339954	211	0	211	<>	30	60
chr2	94263839	94263858	94260000-94270000	834.0	-	0.0492891656563037	3.6758347359905126	212	0	212	<>	30	60
chr2	103347484	103347503	103340000-103350000	917.0	-	0.0492891656563037	3.2	213	0	213	<>	30	60
chr2	94473181	94473200	94470000-94480000	861.0	-	0.0492891656563037	2.599207668339954	214	0	214	<>	30	60
chr2	94479232	94479251	94470000-94480000	815.0	+	0.0492891656563037	2.599207668339954	215	0	215	<>	30	60
chr2	103347711	103347730	103340000-103350000	828.0	-	0.0492891656563037	3.2	216	0	216	<>	30	60
chr2	94263131	94263150	94260000-94270000	829.0	+	0.0492891656563037	3.6758347359905126	217	0	217	<>	30	60
chr2	103347626	103347645	103340000-103350000	806.0	-	0.0492891656563037	3.2	218	0	218	<>	30	60
chr2	103345658	103345677	103340000-103350000	840.0	+	0.0492891656563037	3.2	219	0	219	<>	30	60
chr2	102677845	102677864	102670000-102680000	803.0	-	0.0492891656563037	3.2	220	0	220	<>	30	60
chr2	96318988	96319007	96310000-96320000	815.0	+	0.0492891656563037	2.599207668339954	221	0	221	<>	30	60
chr2	102670121	102670140	102670000-102680000	806.0	+	0.0492891656563037	3.2	222	0	222	<>	30	60
chr2	102675458	102675477	102670000-102680000	930.0	+	0.0492891656563037	3.2	223	0	223	<>	30	60
chr2	102675181	102675200	102670000-102680000	811.0	+	0.0492891656563037	3.2	224	0	224	<>	30	60
chr2	102672439	102672458	102670000-102680000	805.0	+	0.0492891656563037	3.2	225	0	225	<>	30	60
chr2	94472854	94472873	94470000-94480000	811.0	+	0.0492891656563037	2.599207668339954	226	0	226	<>	30	60
chr16	90676328	90676347	90670000-90680000	897.0	+	0.0492633856389249	3.2	227	0	227	<>	30	60
chr16	90672346	90672365	90670000-90680000	870.0	+	0.0492633856389249	3.2	228	0	228	<>	30	60
chr16	90672083	90672102	90670000-90680000	822.0	+	0.0492633856389249	3.2	229	0	229	<>	30	60
chr16	90367158	90367177	90360000-90370000	805.0	-	0.0492633856389249	3.2	230	0	230	<>	30	60
chr2	131511468	131511487	131510000-131520000	814.0	+	0.0492520165235371	2.111212657236631	231	0	231	<>	30	60
chr2	130962040	130962059	130960000-130970000	941.0	+	0.0492520165235371	2.111212657236631	232	0	232	<>	30	60
chr2	131512235	131512254	131510000-131520000	805.0	-	0.0492520165235371	2.111212657236631	233	0	233	<>	30	60
chr2	131515976	131515995	131510000-131520000	816.0	+	0.0492520165235371	2.111212657236631	234	0	234	<>	30	60
chr2	131514243	131514262	131510000-131520000	831.0	+	0.0492520165235371	2.111212657236631	235	0	235	<>	30	60
chr2	131510216	131510235	131510000-131520000	881.0	-	0.0492520165235371	2.111212657236631	236	0	236	<>	30	60
chr2	131512776	131512795	131510000-131520000	809.0	+	0.0492520165235371	2.111212657236631	237	0	237	<>	30	60
chr2	131516206	131516225	131510000-131520000	813.0	+	0.0492520165235371	2.111212657236631	238	0	238	<>	30	60
chr11	3533737	3533756	3530000-3540000	805.0	-	0.0492386834154921	2.111212657236631	239	0	239	<>	30	60
chr11	3530994	3531013	3530000-3540000	812.0	+	0.0492386834154921	2.111212657236631	240	0	240	<>	30	60
chr11	3537508	3537527	3530000-3540000	801.0	-	0.0492386834154921	2.111212657236631	241	0	241	<>	30	60
chr11	8855616	8855635	8850000-8860000	834.0	+	0.0492386834154921	2.111212657236631	242	0	242	<>	30	60
chr11	3531452	3531471	3530000-3540000	805.0	-	0.0492386834154921	2.111212657236631	243	0	243	<>	30	60
chr11	19013009	19013028	19010000-19020000	837.0	-	0.0492386834154921	2.599207668339954	244	0	244	<>	30	60
chr11	3534985	3535004	3530000-3540000	860.0	-	0.0492386834154921	2.111212657236631	245	0	245	<>	30	60
chr11	3529982	3530001	3530000-3540000	803.0	+	0.0492386834154921	2.111212657236631	246	0	246	<>	30	60
chr11	5175237	5175256	5170000-5180000	801.0	-	0.0492386834154921	2.111212657236631	247	0	247	<>	30	60
chr11	3535204	3535223	3530000-3540000	863.0	+	0.0492386834154921	2.111212657236631	248	0	248	<>	30	60
