Unnamed: 0	chrom	end	start	strand	disruption_SCD	insertion_SCD	background_index	exp_id	orientation	flank_bp	spacer_bp
48	chr10	10321327	10321308	-	52.47	23.97	0	48	><	30	199970
49	chr9	49494135	49494116	+	52.4	51.5	0	49	><	30	199970
50	chr3	50906169	50906150	-	52.12	57.06	0	50	><	30	199970
51	chr11	57467973	57467954	-	52.03	54.47	0	51	><	30	199970
52	chr11	113165316	113165297	-	51.88	57.94	0	52	><	30	199970
53	chr9	51152608	51152589	-	51.8	48.22	0	53	><	30	199970
54	chr16	58299658	58299639	+	51.56	30.08	0	54	><	30	199970
55	chr16	22564783	22564764	+	51.44	49.16	0	55	><	30	199970
56	chr8	36523135	36523116	-	51.4	44.44	0	56	><	30	199970
57	chr14	34810941	34810922	+	51.3	52.97	0	57	><	30	199970
58	chr6	101261740	101261721	-	51.0	49.47	0	58	><	30	199970
59	chr7	132213694	132213675	-	50.8	38.62	0	59	><	30	199970
60	chr2	48886271	48886252	-	50.28	44.53	0	60	><	30	199970
61	chr12	54060974	54060955	-	50.12	27.78	0	61	><	30	199970
62	chr1	5905019	5905000	-	50.06	44.22	0	62	><	30	199970
63	chr9	26776375	26776356	-	50.0	53.88	0	63	><	30	199970
64	chr1	103799519	103799500	+	49.53	56.44	0	64	><	30	199970
65	chr9	88222188	88222169	-	49.5	40.1	0	65	><	30	199970
66	chr18	58481884	58481865	-	49.28	39.28	0	66	><	30	199970
67	chr13	100112788	100112769	+	49.16	37.22	0	67	><	30	199970
68	chr3	14679394	14679375	+	49.06	29.97	0	68	><	30	199970
69	chr16	37109459	37109440	+	48.75	19.0	0	69	><	30	199970
70	chr3	153655318	153655299	-	48.72	48.28	0	70	><	30	199970
71	chr16	89765698	89765679	-	48.38	54.0	0	71	><	30	199970
72	chr13	89543228	89543209	-	48.3	56.84	0	72	><	30	199970
73	chr11	40149509	40149490	-	48.28	36.34	0	73	><	30	199970
74	chr3	113080940	113080921	-	48.2	53.4	0	74	><	30	199970
75	chr10	70963797	70963778	-	47.53	51.97	0	75	><	30	199970
76	chr6	66533480	66533461	-	47.34	41.22	0	76	><	30	199970
77	chr18	57976815	57976796	+	47.28	41.3	0	77	><	30	199970
78	chr12	92303388	92303369	+	47.12	48.12	0	78	><	30	199970
79	chr6	43686140	43686121	+	47.1	34.0	0	79	><	30	199970
80	chr15	11038687	11038668	+	47.06	40.16	0	80	><	30	199970
81	chr6	13281064	13281045	-	47.06	44.4	0	81	><	30	199970
82	chr4	25180081	25180062	-	46.94	22.34	0	82	><	30	199970
83	chr2	110229883	110229864	+	46.8	37.2	0	83	><	30	199970
84	chr2	118638293	118638274	+	46.34	48.4	0	84	><	30	199970
85	chr14	67674858	67674839	-	46.2	40.62	0	85	><	30	199970
86	chr1	179477262	179477243	-	45.97	54.9	0	86	><	30	199970
87	chr12	78056191	78056172	+	45.84	48.03	0	87	><	30	199970
88	chr15	44836402	44836383	+	45.7	45.75	0	88	><	30	199970
89	chr9	80293262	80293243	+	45.3	48.66	0	89	><	30	199970
90	chr1	21411405	21411386	+	45.28	35.97	0	90	><	30	199970
91	chr8	80483379	80483360	-	45.28	32.34	0	91	><	30	199970
92	chr16	55477026	55477007	-	44.9	60.88	0	92	><	30	199970
93	chr9	122729759	122729740	-	44.72	40.56	0	93	><	30	199970
94	chr2	17415581	17415562	-	44.56	38.03	0	94	><	30	199970
95	chr4	13778049	13778030	-	44.5	20.47	0	95	><	30	199970
96	chr16	64748455	64748436	-	44.47	52.25	0	96	><	30	199970
97	chr6	57570627	57570608	-	44.28	34.06	0	97	><	30	199970
98	chr16	13117421	13117402	+	44.28	48.25	0	98	><	30	199970
99	chr1	54381475	54381456	-	44.12	34.1	0	99	><	30	199970
100	chr15	40166896	40166877	+	44.03	40.53	0	100	><	30	199970
101	chr17	83271696	83271677	+	44.0	39.2	0	101	><	30	199970
102	chr9	63136063	63136044	+	43.94	32.22	0	102	><	30	199970
103	chr3	68056550	68056531	+	43.88	35.0	0	103	><	30	199970
104	chr3	25220822	25220803	-	43.8	23.62	0	104	><	30	199970
105	chr7	118102455	118102436	-	43.53	59.94	0	105	><	30	199970
106	chr9	51335485	51335466	+	43.47	26.75	0	106	><	30	199970
107	chr16	96671807	96671788	-	43.4	27.66	0	107	><	30	199970
108	chr2	113494904	113494885	+	43.34	43.28	0	108	><	30	199970
109	chr1	55404561	55404542	+	43.25	39.06	0	109	><	30	199970
110	chr3	80079969	80079950	+	43.0	35.7	0	110	><	30	199970
111	chr11	25862989	25862970	-	42.66	37.9	0	111	><	30	199970
112	chr13	109213188	109213169	-	42.6	60.5	0	112	><	30	199970
113	chr8	58566283	58566264	+	42.56	33.8	0	113	><	30	199970
114	chr16	72218227	72218208	+	42.38	47.1	0	114	><	30	199970
115	chr14	102510640	102510621	-	42.34	35.9	0	115	><	30	199970
116	chr7	143154010	143153991	+	42.16	43.66	0	116	><	30	199970
117	chr6	143219585	143219566	+	42.1	41.62	0	117	><	30	199970
118	chr17	86906334	86906315	-	41.97	47.25	0	118	><	30	199970
119	chr8	62080400	62080381	+	41.97	30.6	0	119	><	30	199970
120	chr3	57843985	57843966	+	41.94	43.75	0	120	><	30	199970
121	chr18	3495634	3495615	+	41.62	36.03	0	121	><	30	199970
122	chr7	125393847	125393828	-	41.56	47.0	0	122	><	30	199970
123	chr7	86211564	86211545	-	41.56	46.4	0	123	><	30	199970
124	chr9	60245127	60245108	+	41.38	43.16	0	124	><	30	199970
125	chr6	131353859	131353840	-	41.3	15.89	0	125	><	30	199970
126	chr15	98173991	98173972	-	41.25	24.88	0	126	><	30	199970
127	chr17	88641249	88641230	-	41.12	34.25	0	127	><	30	199970
128	chr9	87027908	87027889	+	41.1	38.34	0	128	><	30	199970
129	chr4	70621553	70621534	-	40.97	48.38	0	129	><	30	199970
130	chr12	41487236	41487217	-	40.88	35.94	0	130	><	30	199970
131	chr4	127368548	127368529	+	40.8	49.72	0	131	><	30	199970
132	chr8	50293750	50293731	-	40.75	48.2	0	132	><	30	199970
133	chr16	27468981	27468962	+	40.75	34.62	0	133	><	30	199970
134	chr7	121641354	121641335	-	40.7	30.69	0	134	><	30	199970
135	chr3	29726795	29726776	-	40.7	30.42	0	135	><	30	199970
136	chr14	29110872	29110853	-	40.66	51.22	0	136	><	30	199970
137	chr13	116712427	116712408	-	40.62	33.1	0	137	><	30	199970
138	chr18	19939562	19939543	-	40.47	45.7	0	138	><	30	199970
139	chr15	80704533	80704514	-	40.28	46.53	0	139	><	30	199970
140	chr18	50137074	50137055	+	40.28	37.62	0	140	><	30	199970
141	chr13	15763212	15763193	-	40.25	29.53	0	141	><	30	199970
142	chr19	50185486	50185467	+	40.22	44.2	0	142	><	30	199970
143	chr12	74013965	74013946	-	40.22	40.8	0	143	><	30	199970
144	chr1	138835543	138835524	+	40.06	20.81	0	144	><	30	199970
145	chr15	55550924	55550905	-	40.06	37.12	0	145	><	30	199970
146	chr1	61771439	61771420	-	40.06	23.55	0	146	><	30	199970
147	chr12	34664961	34664942	+	40.0	19.7	0	147	><	30	199970
148	chr14	78288101	78288082	-	39.8	38.8	0	148	><	30	199970
149	chr2	4499416	4499397	+	39.78	33.88	0	149	><	30	199970
150	chr13	30260132	30260113	-	39.75	32.75	0	150	><	30	199970
151	chr9	68015271	68015252	+	39.2	39.0	0	151	><	30	199970
152	chr1	126993502	126993483	-	39.06	47.2	0	152	><	30	199970
153	chr16	25349824	25349805	-	39.0	41.2	0	153	><	30	199970
154	chr1	14729249	14729230	-	38.94	39.3	0	154	><	30	199970
155	chr15	59389427	59389408	+	38.7	46.34	0	155	><	30	199970
156	chr6	100882590	100882571	+	38.66	49.44	0	156	><	30	199970
157	chr3	9711121	9711102	+	38.62	35.47	0	157	><	30	199970
158	chr6	21214019	21214000	-	38.47	24.2	0	158	><	30	199970
159	chr17	42603617	42603598	-	38.47	42.5	0	159	><	30	199970
160	chr4	80517548	80517529	-	38.47	41.4	0	160	><	30	199970
161	chr9	85328584	85328565	-	38.28	30.06	0	161	><	30	199970
162	chr17	44262001	44261982	+	38.22	44.16	0	162	><	30	199970
163	chr10	102449665	102449646	+	38.2	48.84	0	163	><	30	199970
164	chr17	14520745	14520726	-	38.12	30.45	0	164	><	30	199970
165	chr13	51830925	51830906	+	38.0	56.0	0	165	><	30	199970
166	chr12	83502436	83502417	-	37.97	34.4	0	166	><	30	199970
167	chr5	75853265	75853246	-	37.94	27.88	0	167	><	30	199970
168	chr13	110382742	110382723	+	37.88	61.84	0	168	><	30	199970
169	chr5	62481159	62481140	-	37.8	35.4	0	169	><	30	199970
170	chr7	49121503	49121484	-	37.7	29.61	0	170	><	30	199970
171	chr15	11966575	11966556	-	37.66	34.72	0	171	><	30	199970
172	chr3	31146135	31146116	+	37.53	44.5	0	172	><	30	199970
173	chr2	37815879	37815860	+	37.47	39.2	0	173	><	30	199970
174	chr5	33033442	33033423	-	37.44	48.28	0	174	><	30	199970
175	chr9	7595466	7595447	-	37.4	28.72	0	175	><	30	199970
176	chr5	21641153	21641134	-	37.3	33.66	0	176	><	30	199970
177	chr14	48367302	48367283	-	37.12	39.88	0	177	><	30	199970
178	chr17	14524624	14524605	+	37.1	38.88	0	178	><	30	199970
179	chr4	84064835	84064816	+	37.06	23.38	0	179	><	30	199970
180	chr4	63368786	63368767	+	37.06	51.6	0	180	><	30	199970
181	chr5	102149680	102149661	+	37.03	38.97	0	181	><	30	199970
182	chr12	32897684	32897665	-	36.88	40.9	0	182	><	30	199970
183	chr16	91936532	91936513	+	36.72	43.06	0	183	><	30	199970
184	chr6	37046379	37046360	-	36.72	47.7	0	184	><	30	199970
185	chr18	59081896	59081877	+	36.7	37.34	0	185	><	30	199970
186	chr6	103697552	103697533	-	36.3	43.6	0	186	><	30	199970
187	chr18	19937930	19937911	+	36.3	37.56	0	187	><	30	199970
188	chr6	93757594	93757575	+	36.28	18.31	0	188	><	30	199970
189	chr17	9756371	9756352	+	36.28	21.2	0	189	><	30	199970
190	chr2	96585854	96585835	+	36.25	26.84	0	190	><	30	199970
191	chr11	82915176	82915157	+	36.2	36.34	0	191	><	30	199970
192	chr6	6005837	6005818	+	36.03	35.2	0	192	><	30	199970
193	chr1	98392238	98392219	-	36.03	38.97	0	193	><	30	199970
194	chr7	48749384	48749365	+	35.94	38.3	0	194	><	30	199970
195	chr11	105911812	105911793	-	35.9	37.8	0	195	><	30	199970
196	chr10	45045486	45045467	-	35.8	35.22	0	196	><	30	199970
197	chr2	4492748	4492729	-	35.75	19.97	0	197	><	30	199970
198	chr6	18087397	18087378	+	35.75	40.84	0	198	><	30	199970
199	chr5	90203341	90203322	+	35.7	41.12	0	199	><	30	199970
200	chr7	136489148	136489129	+	35.62	28.06	0	200	><	30	199970
201	chr9	109862620	109862601	-	35.6	34.12	0	201	><	30	199970
202	chr15	59876355	59876336	+	35.3	32.16	0	202	><	30	199970
203	chr14	76473612	76473593	-	35.25	45.66	0	203	><	30	199970
204	chr3	128349320	128349301	+	35.03	41.75	0	204	><	30	199970
205	chr3	45375963	45375944	+	35.03	23.92	0	205	><	30	199970
206	chr3	133314669	133314650	+	34.97	39.0	0	206	><	30	199970
207	chr1	96801850	96801831	-	34.84	30.55	0	207	><	30	199970
208	chr7	115216958	115216939	+	34.62	30.45	0	208	><	30	199970
209	chr9	59282577	59282558	-	34.62	26.88	0	209	><	30	199970
210	chr2	148112135	148112116	-	34.5	31.5	0	210	><	30	199970
211	chr18	52457916	52457897	-	34.47	28.2	0	211	><	30	199970
212	chr6	56691454	56691435	-	34.34	42.2	0	212	><	30	199970
213	chr13	20292580	20292561	-	34.3	38.5	0	213	><	30	199970
214	chr13	57260119	57260100	-	34.25	52.66	0	214	><	30	199970
215	chr13	113877615	113877596	+	34.25	36.75	0	215	><	30	199970
216	chr13	116715029	116715010	-	34.1	31.72	0	216	><	30	199970
217	chr4	83596692	83596673	-	34.1	52.75	0	217	><	30	199970
218	chr8	64941619	64941600	-	34.06	33.75	0	218	><	30	199970
219	chr3	51701488	51701469	+	34.03	22.56	0	219	><	30	199970
220	chr14	120061322	120061303	-	33.84	29.2	0	220	><	30	199970
221	chr7	75910166	75910147	+	33.8	57.6	0	221	><	30	199970
222	chr4	98702698	98702679	-	33.78	31.62	0	222	><	30	199970
223	chr3	146185137	146185118	+	33.62	52.6	0	223	><	30	199970
224	chr4	151157152	151157133	+	33.53	59.38	0	224	><	30	199970
225	chr5	43391861	43391842	-	33.5	21.5	0	225	><	30	199970
226	chr11	93856511	93856492	-	33.47	26.19	0	226	><	30	199970
227	chr14	59605843	59605824	+	33.47	40.3	0	227	><	30	199970
228	chr14	84438580	84438561	+	33.44	23.31	0	228	><	30	199970
229	chr12	50943824	50943805	-	33.28	38.56	0	229	><	30	199970
230	chr7	83550335	83550316	-	33.2	30.12	0	230	><	30	199970
231	chr6	117167008	117166989	+	33.03	30.3	0	231	><	30	199970
232	chr4	12538791	12538772	+	33.0	21.84	0	232	><	30	199970
233	chr18	47353079	47353060	+	32.84	24.58	0	233	><	30	199970
234	chr5	12541496	12541477	-	32.72	22.56	0	234	><	30	199970
235	chr2	60721127	60721108	+	32.72	22.53	0	235	><	30	199970
236	chr11	78838251	78838232	+	32.72	51.5	0	236	><	30	199970
237	chr8	73356225	73356206	+	32.62	23.39	0	237	><	30	199970
238	chr12	10598567	10598548	+	32.5	41.56	0	238	><	30	199970
239	chr19	20345158	20345139	-	32.25	47.94	0	239	><	30	199970
240	chr17	58909486	58909467	-	32.16	39.4	0	240	><	30	199970
241	chr10	69655037	69655018	-	32.12	36.56	0	241	><	30	199970
242	chr4	3967733	3967714	-	32.12	41.75	0	242	><	30	199970
243	chr16	21192795	21192776	-	32.06	38.78	0	243	><	30	199970
244	chr11	12291593	12291574	-	32.0	15.54	0	244	><	30	199970
245	chr11	117385082	117385063	+	31.83	36.6	0	245	><	30	199970
246	chr12	32292095	32292076	+	31.73	20.83	0	246	><	30	199970
247	chr4	64833096	64833077	+	31.69	34.34	0	247	><	30	199970
248	chr13	47301245	47301226	+	31.67	43.9	0	248	><	30	199970
249	chr1	89631957	89631938	-	31.56	45.38	0	249	><	30	199970
250	chr9	69296601	69296582	-	31.53	38.66	0	250	><	30	199970
251	chr3	53735364	53735345	+	31.28	24.5	0	251	><	30	199970
252	chr10	45373471	45373452	-	31.2	37.7	0	252	><	30	199970
253	chr8	91797725	91797706	+	31.19	30.23	0	253	><	30	199970
254	chr4	88035662	88035643	+	31.06	19.66	0	254	><	30	199970
255	chr2	75151187	75151168	-	31.05	37.9	0	255	><	30	199970
256	chr14	66791971	66791952	-	31.02	32.1	0	256	><	30	199970
257	chr2	93199062	93199043	-	30.9	51.25	0	257	><	30	199970
258	chr2	73551006	73550987	+	30.86	53.72	0	258	><	30	199970
259	chr12	89451144	89451125	-	30.81	40.1	0	259	><	30	199970
260	chr16	66086729	66086710	-	30.81	33.7	0	260	><	30	199970
261	chr14	114791647	114791628	-	30.72	37.2	0	261	><	30	199970
262	chr4	43420547	43420528	-	30.61	34.5	0	262	><	30	199970
263	chr1	87447687	87447668	+	30.56	32.53	0	263	><	30	199970
264	chr15	55306471	55306452	+	30.56	24.06	0	264	><	30	199970
265	chr15	97667578	97667559	+	30.52	37.12	0	265	><	30	199970
266	chr2	16359548	16359529	+	30.47	16.92	0	266	><	30	199970
267	chr14	8356099	8356080	+	30.42	51.06	0	267	><	30	199970
268	chr3	19894816	19894797	-	30.38	33.66	0	268	><	30	199970
269	chr12	43813750	43813731	-	30.34	24.06	0	269	><	30	199970
270	chr2	27770378	27770359	+	30.12	46.8	0	270	><	30	199970
271	chr16	48675836	48675817	-	30.12	28.97	0	271	><	30	199970
272	chr10	13016733	13016714	+	30.1	53.44	0	272	><	30	199970
273	chr2	76367359	76367340	+	30.05	30.6	0	273	><	30	199970
274	chr2	115515230	115515211	+	30.05	12.29	0	274	><	30	199970
275	chr19	16785108	16785089	-	30.03	27.4	0	275	><	30	199970
276	chr3	78948444	78948425	+	30.03	29.16	0	276	><	30	199970
277	chr1	37250876	37250857	-	29.94	25.45	0	277	><	30	199970
278	chr18	74431409	74431390	+	29.94	28.48	0	278	><	30	199970
279	chr1	38787652	38787633	-	29.89	46.22	0	279	><	30	199970
280	chr3	14874584	14874565	+	29.88	22.88	0	280	><	30	199970
281	chr9	69505778	69505759	+	29.88	30.58	0	281	><	30	199970
282	chr10	84450913	84450894	-	29.77	31.7	0	282	><	30	199970
283	chr2	172216047	172216028	-	29.77	65.06	0	283	><	30	199970
284	chr10	97712895	97712876	+	29.72	22.83	0	284	><	30	199970
285	chr1	4770074	4770055	+	29.72	39.66	0	285	><	30	199970
286	chr12	50301580	50301561	-	29.69	16.55	0	286	><	30	199970
287	chr15	85266923	85266904	+	29.69	42.06	0	287	><	30	199970
288	chr4	85403030	85403011	+	29.62	27.23	0	288	><	30	199970
289	chr6	97526370	97526351	-	29.53	31.17	0	289	><	30	199970
290	chr8	112046096	112046077	+	29.5	62.6	0	290	><	30	199970
291	chr12	96311368	96311349	-	29.48	23.8	0	291	><	30	199970
292	chr1	93507239	93507220	-	29.45	32.5	0	292	><	30	199970
293	chr13	21714927	21714908	+	29.4	37.72	0	293	><	30	199970
294	chr6	49008180	49008161	+	29.38	27.1	0	294	><	30	199970
295	chr17	17749545	17749526	-	29.36	32.88	0	295	><	30	199970
296	chr6	145360253	145360234	+	29.34	33.62	0	296	><	30	199970
297	chr7	17066630	17066611	-	29.27	41.75	0	297	><	30	199970
298	chr12	81788850	81788831	-	29.25	32.47	0	298	><	30	199970
299	chr7	129649172	129649153	+	29.19	42.88	0	299	><	30	199970
300	chr14	104039053	104039034	+	29.17	41.16	0	300	><	30	199970
301	chr13	41634744	41634725	-	29.08	40.84	0	301	><	30	199970
302	chr7	138835232	138835213	-	29.02	47.88	0	302	><	30	199970
303	chr15	97195797	97195778	+	28.92	38.5	0	303	><	30	199970
304	chr1	119087737	119087718	+	28.89	50.28	0	304	><	30	199970
305	chr4	85819373	85819354	-	28.86	29.28	0	305	><	30	199970
306	chr11	30657307	30657288	-	28.86	6.477	0	306	><	30	199970
307	chr5	49369245	49369226	+	28.66	27.94	0	307	><	30	199970
308	chr6	106805067	106805048	+	28.61	20.38	0	308	><	30	199970
309	chr6	31660958	31660939	+	28.53	52.9	0	309	><	30	199970
310	chr12	8306749	8306730	-	28.48	47.94	0	310	><	30	199970
311	chr13	42822785	42822766	-	28.47	44.4	0	311	><	30	199970
312	chr15	34968778	34968759	+	28.4	27.94	0	312	><	30	199970
313	chr7	68369859	68369840	+	28.38	58.97	0	313	><	30	199970
314	chr15	80266443	80266424	+	28.33	34.62	0	314	><	30	199970
315	chr6	102171110	102171091	+	28.19	24.06	0	315	><	30	199970
316	chr16	72605273	72605254	-	28.11	17.7	0	316	><	30	199970
317	chr18	65490506	65490487	+	28.06	33.94	0	317	><	30	199970
318	chr3	55373775	55373756	+	28.0	19.75	0	318	><	30	199970
319	chr1	53927814	53927795	-	27.97	28.48	0	319	><	30	199970
320	chr2	160368066	160368047	-	27.95	21.97	0	320	><	30	199970
321	chr10	42295232	42295213	-	27.94	37.8	0	321	><	30	199970
322	chr7	116040411	116040392	-	27.9	26.19	0	322	><	30	199970
323	chr10	116197535	116197516	-	27.81	28.58	0	323	><	30	199970
324	chr5	20773533	20773514	-	27.81	20.77	0	324	><	30	199970
325	chr12	80725012	80724993	-	27.73	38.97	0	325	><	30	199970
326	chr15	66899881	66899862	-	27.6	21.5	0	326	><	30	199970
327	chr18	16822208	16822189	-	27.56	13.28	0	327	><	30	199970
328	chr18	14503254	14503235	-	27.55	19.48	0	328	><	30	199970
329	chr5	98344786	98344767	+	27.44	28.3	0	329	><	30	199970
330	chr10	77517236	77517217	+	27.39	30.44	0	330	><	30	199970
331	chr1	44741472	44741453	-	27.38	6.344	0	331	><	30	199970
332	chr6	127945983	127945964	-	27.28	24.97	0	332	><	30	199970
333	chr16	42914955	42914936	-	27.27	20.78	0	333	><	30	199970
334	chr18	39137558	39137539	+	27.11	15.805	0	334	><	30	199970
335	chr13	42575907	42575888	+	27.11	22.34	0	335	><	30	199970
336	chr2	13278209	13278190	+	27.06	48.53	0	336	><	30	199970
337	chr18	43836585	43836566	-	27.06	22.66	0	337	><	30	199970
338	chr4	114647896	114647877	+	27.05	26.58	0	338	><	30	199970
339	chr16	44149214	44149195	-	27.03	37.28	0	339	><	30	199970
340	chr13	109776299	109776280	+	27.02	27.47	0	340	><	30	199970
341	chr19	30217515	30217496	+	27.0	44.25	0	341	><	30	199970
342	chr6	61316075	61316056	+	26.94	38.16	0	342	><	30	199970
343	chr17	78598832	78598813	+	26.92	37.16	0	343	><	30	199970
344	chr2	117231457	117231438	-	26.88	23.62	0	344	><	30	199970
345	chr4	115101816	115101797	+	26.84	34.88	0	345	><	30	199970
346	chr10	57448131	57448112	-	26.8	44.97	0	346	><	30	199970
347	chr13	113046665	113046646	+	26.77	22.72	0	347	><	30	199970
348	chr4	110022447	110022428	-	26.58	43.47	0	348	><	30	199970
349	chr7	101653829	101653810	+	26.5	47.97	0	349	><	30	199970
350	chr5	67756338	67756319	+	26.5	26.55	0	350	><	30	199970
351	chr3	62192717	62192698	-	26.5	17.1	0	351	><	30	199970
352	chr10	17728146	17728127	-	26.45	14.96	0	352	><	30	199970
353	chr5	37752557	37752538	-	26.33	30.73	0	353	><	30	199970
354	chr1	60961316	60961297	-	26.3	26.22	0	354	><	30	199970
355	chr17	68176981	68176962	+	26.27	18.84	0	355	><	30	199970
356	chr7	37357871	37357852	-	26.2	67.6	0	356	><	30	199970
357	chr4	32572316	32572297	-	26.16	44.75	0	357	><	30	199970
358	chr4	96696741	96696722	+	26.12	32.22	0	358	><	30	199970
359	chr4	109729491	109729472	-	26.06	50.3	0	359	><	30	199970
360	chr10	111977780	111977761	+	25.78	32.1	0	360	><	30	199970
361	chr5	45424489	45424470	-	25.73	30.9	0	361	><	30	199970
362	chr2	61494577	61494558	-	25.72	22.25	0	362	><	30	199970
363	chr6	13287046	13287027	+	25.69	21.62	0	363	><	30	199970
364	chr9	116060829	116060810	+	25.66	36.5	0	364	><	30	199970
365	chr8	17537753	17537734	-	25.64	36.44	0	365	><	30	199970
366	chr9	77781636	77781617	-	25.62	27.94	0	366	><	30	199970
367	chr15	5106460	5106441	-	25.56	29.45	0	367	><	30	199970
368	chr17	93141334	93141315	-	25.53	33.03	0	368	><	30	199970
369	chr6	97759520	97759501	+	25.52	17.88	0	369	><	30	199970
370	chr8	119384750	119384731	-	25.47	45.94	0	370	><	30	199970
371	chr6	88113322	88113303	+	25.38	41.75	0	371	><	30	199970
372	chr15	101984527	101984508	-	25.38	56.7	0	372	><	30	199970
373	chr8	54493335	54493316	-	25.34	39.7	0	373	><	30	199970
374	chr9	24119622	24119603	+	25.33	14.83	0	374	><	30	199970
375	chr3	50077169	50077150	-	25.31	24.22	0	375	><	30	199970
376	chr4	47419767	47419748	+	25.23	44.03	0	376	><	30	199970
377	chr2	76115910	76115891	+	25.22	28.97	0	377	><	30	199970
378	chr15	67174759	67174740	+	25.2	12.74	0	378	><	30	199970
379	chr8	125574509	125574490	+	25.17	12.85	0	379	><	30	199970
380	chr1	161737065	161737046	-	25.11	39.75	0	380	><	30	199970
381	chr3	85571455	85571436	-	25.1	9.7	0	381	><	30	199970
382	chr18	19577078	19577059	-	25.02	27.28	0	382	><	30	199970
383	chr19	36083087	36083068	-	25.0	29.4	0	383	><	30	199970
384	chr8	115709616	115709597	-	24.98	9.14	0	384	><	30	199970
385	chr10	126330794	126330775	-	24.84	24.02	0	385	><	30	199970
386	chr15	25993551	25993532	+	24.81	33.28	0	386	><	30	199970
387	chr5	131430355	131430336	-	24.78	45.44	0	387	><	30	199970
388	chr1	9545352	9545333	-	24.78	38.06	0	388	><	30	199970
389	chr19	28768445	28768426	-	24.75	36.44	0	389	><	30	199970
390	chr10	24630876	24630857	+	24.72	22.94	0	390	><	30	199970
391	chr17	54351102	54351083	+	24.53	15.79	0	391	><	30	199970
392	chr16	20496806	20496787	+	24.47	28.86	0	392	><	30	199970
393	chr12	109394024	109394005	-	24.44	15.02	0	393	><	30	199970
394	chr13	21803288	21803269	-	24.42	40.1	0	394	><	30	199970
395	chr3	103392995	103392976	+	24.38	33.9	0	395	><	30	199970
