chr	start	end	genome_window_start
chr1	3000320	22433792	3303424
chr1	3000320	22433792	3305472
chr1	3000320	22433792	3307520
chr1	3000320	22433792	3309568
chr1	3000320	22433792	3311616
chr1	3000320	22433792	3313664
chr1	3000320	22433792	3315712
chr1	3000320	22433792	3317760
chr1	3000320	22433792	3319808
chr1	3000320	22433792	3321856
chr1	3000320	22433792	3323904
chr1	3000320	22433792	3325952
chr1	3000320	22433792	3328000
chr1	3000320	22433792	3330048
chr1	3000320	22433792	3332096
chr1	3000320	22433792	3334144
chr1	3000320	22433792	3336192
chr1	3000320	22433792	3338240
chr1	3000320	22433792	3340288
chr1	3000320	22433792	3342336
chr1	3000320	22433792	3344384
chr1	3000320	22433792	3346432
chr1	3000320	22433792	3348480
chr1	3000320	22433792	3350528
chr1	3000320	22433792	3352576
chr1	3000320	22433792	3354624
chr1	3000320	22433792	3356672
chr1	3000320	22433792	3358720
chr1	3000320	22433792	3360768
chr1	3000320	22433792	3362816
chr1	3000320	22433792	3364864
chr1	3000320	22433792	3366912
chr1	3000320	22433792	3368960
chr1	3000320	22433792	3371008
chr1	3000320	22433792	3373056
chr1	3000320	22433792	3375104
chr1	3000320	22433792	3377152
chr1	3000320	22433792	3379200
chr1	3000320	22433792	3381248
chr1	3000320	22433792	3383296
chr1	3000320	22433792	3385344
chr1	3000320	22433792	3387392
chr1	3000320	22433792	3389440
chr1	3000320	22433792	3391488
chr1	3000320	22433792	3393536
chr1	3000320	22433792	3395584
chr1	3000320	22433792	3397632
chr1	3000320	22433792	3399680
chr1	3000320	22433792	3401728
chr1	3000320	22433792	3403776
chr1	3000320	22433792	3405824
chr1	3000320	22433792	3407872
chr1	3000320	22433792	3409920
chr1	3000320	22433792	3411968
chr1	3000320	22433792	3414016
chr1	3000320	22433792	3416064
chr1	3000320	22433792	3418112
chr1	3000320	22433792	3420160
chr1	3000320	22433792	3422208
chr1	3000320	22433792	3424256
chr1	3000320	22433792	3426304
chr1	3000320	22433792	3428352
chr1	3000320	22433792	3430400
chr1	3000320	22433792	3432448
chr1	3000320	22433792	3434496
chr1	3000320	22433792	3436544
chr1	3000320	22433792	3438592
chr1	3000320	22433792	3440640
chr1	3000320	22433792	3442688
chr1	3000320	22433792	3444736
chr1	3000320	22433792	3446784
chr1	3000320	22433792	3448832
chr1	3000320	22433792	3450880
chr1	3000320	22433792	3452928
chr1	3000320	22433792	3454976
chr1	3000320	22433792	3457024
chr1	3000320	22433792	3459072
chr1	3000320	22433792	3461120
chr1	3000320	22433792	3463168
chr1	3000320	22433792	3465216
chr1	3000320	22433792	3467264
chr1	3000320	22433792	3469312
chr1	3000320	22433792	3471360
chr1	3000320	22433792	3473408
chr1	3000320	22433792	3475456
chr1	3000320	22433792	3477504
chr1	3000320	22433792	3479552
chr1	3000320	22433792	3481600
chr1	3000320	22433792	3483648
chr1	3000320	22433792	3485696
chr1	3000320	22433792	3487744
chr1	3000320	22433792	3489792
chr1	3000320	22433792	3491840
chr1	3000320	22433792	3493888
chr1	3000320	22433792	3495936
chr1	3000320	22433792	3497984
chr1	3000320	22433792	3500032
chr1	3000320	22433792	3502080
chr1	3000320	22433792	3504128
chr1	3000320	22433792	3506176
chr1	3000320	22433792	3508224
chr1	3000320	22433792	3510272
chr1	3000320	22433792	3512320
chr1	3000320	22433792	3514368
chr1	3000320	22433792	3516416
chr1	3000320	22433792	3518464
chr1	3000320	22433792	3520512
chr1	3000320	22433792	3522560
chr1	3000320	22433792	3524608
chr1	3000320	22433792	3526656
chr1	3000320	22433792	3528704
chr1	3000320	22433792	3530752
chr1	3000320	22433792	3532800
chr1	3000320	22433792	3534848
chr1	3000320	22433792	3536896
chr1	3000320	22433792	3538944
chr1	3000320	22433792	3540992
chr1	3000320	22433792	3543040
chr1	3000320	22433792	3545088
chr1	3000320	22433792	3547136
chr1	3000320	22433792	3549184
chr1	3000320	22433792	3551232
chr1	3000320	22433792	3553280
chr1	3000320	22433792	3555328
chr1	3000320	22433792	3557376
chr1	3000320	22433792	3559424
chr1	3000320	22433792	3561472
chr1	3000320	22433792	3563520
chr1	3000320	22433792	3565568
chr1	3000320	22433792	3567616
chr1	3000320	22433792	3569664
chr1	3000320	22433792	3571712
chr1	3000320	22433792	3573760
chr1	3000320	22433792	3575808
chr1	3000320	22433792	3577856
chr1	3000320	22433792	3579904
chr1	3000320	22433792	3581952
chr1	3000320	22433792	3584000
chr1	3000320	22433792	3586048
chr1	3000320	22433792	3588096
chr1	3000320	22433792	3590144
chr1	3000320	22433792	3592192
chr1	3000320	22433792	3594240
chr1	3000320	22433792	3596288
chr1	3000320	22433792	3598336
chr1	3000320	22433792	3600384
chr1	3000320	22433792	3602432
chr1	3000320	22433792	3604480
chr1	3000320	22433792	3606528
chr1	3000320	22433792	3608576
chr1	3000320	22433792	3610624
chr1	3000320	22433792	3612672
chr1	3000320	22433792	3614720
chr1	3000320	22433792	3616768
chr1	3000320	22433792	3618816
chr1	3000320	22433792	3620864
chr1	3000320	22433792	3622912
chr1	3000320	22433792	3624960
chr1	3000320	22433792	3627008
chr1	3000320	22433792	3629056
chr1	3000320	22433792	3631104
chr1	3000320	22433792	3633152
chr1	3000320	22433792	3635200
chr1	3000320	22433792	3637248
chr1	3000320	22433792	3639296
chr1	3000320	22433792	3641344
chr1	3000320	22433792	3643392
chr1	3000320	22433792	3645440
chr1	3000320	22433792	3647488
chr1	3000320	22433792	3649536
chr1	3000320	22433792	3651584
chr1	3000320	22433792	3653632
chr1	3000320	22433792	3655680
chr1	3000320	22433792	3657728
chr1	3000320	22433792	3659776
chr1	3000320	22433792	3661824
chr1	3000320	22433792	3663872
chr1	3000320	22433792	3665920
chr1	3000320	22433792	3667968
chr1	3000320	22433792	3670016
chr1	3000320	22433792	3672064
chr1	3000320	22433792	3674112
chr1	3000320	22433792	3676160
chr1	3000320	22433792	3678208
chr1	3000320	22433792	3680256
chr1	3000320	22433792	3682304
chr1	3000320	22433792	3684352
chr1	3000320	22433792	3686400
chr1	3000320	22433792	3688448
chr1	3000320	22433792	3690496
chr1	3000320	22433792	3692544
chr1	3000320	22433792	3694592
chr1	3000320	22433792	3696640
chr1	3000320	22433792	3698688
chr1	3000320	22433792	3700736
chr1	3000320	22433792	3702784
chr1	3000320	22433792	3704832
chr1	3000320	22433792	3706880
chr1	3000320	22433792	3708928
chr1	3000320	22433792	3710976
chr1	3000320	22433792	3713024
chr1	3000320	22433792	3715072
chr1	3000320	22433792	3717120
chr1	3000320	22433792	3719168
chr1	3000320	22433792	3721216
chr1	3000320	22433792	3723264
chr1	3000320	22433792	3725312
chr1	3000320	22433792	3727360
chr1	3000320	22433792	3729408
chr1	3000320	22433792	3731456
chr1	3000320	22433792	3733504
chr1	3000320	22433792	3735552
chr1	3000320	22433792	3737600
chr1	3000320	22433792	3739648
chr1	3000320	22433792	3741696
chr1	3000320	22433792	3743744
chr1	3000320	22433792	3745792
chr1	3000320	22433792	3747840
chr1	3000320	22433792	3749888
chr1	3000320	22433792	3751936
chr1	3000320	22433792	3753984
chr1	3000320	22433792	3756032
chr1	3000320	22433792	3758080
chr1	3000320	22433792	3760128
chr1	3000320	22433792	3762176
chr1	3000320	22433792	3764224
chr1	3000320	22433792	3766272
chr1	3000320	22433792	3768320
chr1	3000320	22433792	3770368
chr1	3000320	22433792	3772416
chr1	3000320	22433792	3774464
chr1	3000320	22433792	3776512
chr1	3000320	22433792	3778560
chr1	3000320	22433792	3780608
chr1	3000320	22433792	3782656
chr1	3000320	22433792	3784704
chr1	3000320	22433792	3786752
chr1	3000320	22433792	3788800
chr1	3000320	22433792	3790848
chr1	3000320	22433792	3792896
chr1	3000320	22433792	3794944
chr1	3000320	22433792	3796992
chr1	3000320	22433792	3799040
chr1	3000320	22433792	3801088
chr1	3000320	22433792	3803136
chr1	3000320	22433792	3805184
chr1	3000320	22433792	3807232
chr1	3000320	22433792	3809280
chr1	3000320	22433792	3811328
chr1	3000320	22433792	3813376
chr1	3000320	22433792	3815424
chr1	3000320	22433792	3817472
chr1	3000320	22433792	3819520
chr1	3000320	22433792	3821568
chr1	3000320	22433792	3823616
chr1	3000320	22433792	3825664
chr1	3000320	22433792	3827712
chr1	3000320	22433792	3829760
chr1	3000320	22433792	3831808
chr1	3000320	22433792	3833856
chr1	3000320	22433792	3835904
chr1	3000320	22433792	3837952
chr1	3000320	22433792	3840000
chr1	3000320	22433792	3842048
chr1	3000320	22433792	3844096
chr1	3000320	22433792	3846144
chr1	3000320	22433792	3848192
chr1	3000320	22433792	3850240
chr1	3000320	22433792	3852288
chr1	3000320	22433792	3854336
chr1	3000320	22433792	3856384
chr1	3000320	22433792	3858432
chr1	3000320	22433792	3860480
chr1	3000320	22433792	3862528
chr1	3000320	22433792	3864576
chr1	3000320	22433792	3866624
chr1	3000320	22433792	3868672
chr1	3000320	22433792	3870720
chr1	3000320	22433792	3872768
chr1	3000320	22433792	3874816
chr1	3000320	22433792	3876864
chr1	3000320	22433792	3878912
chr1	3000320	22433792	3880960
chr1	3000320	22433792	3883008
chr1	3000320	22433792	3885056
chr1	3000320	22433792	3887104
chr1	3000320	22433792	3889152
chr1	3000320	22433792	3891200
chr1	3000320	22433792	3893248
chr1	3000320	22433792	3895296
chr1	3000320	22433792	3897344
chr1	3000320	22433792	3899392
chr1	3000320	22433792	3901440
chr1	3000320	22433792	3903488
chr1	3000320	22433792	3905536
chr1	3000320	22433792	3907584
chr1	3000320	22433792	3909632
chr1	3000320	22433792	3911680
chr1	3000320	22433792	3913728
chr1	3000320	22433792	3915776
chr1	3000320	22433792	3917824
chr1	3000320	22433792	3919872
chr1	3000320	22433792	3921920
chr1	3000320	22433792	3923968
chr1	3000320	22433792	3926016
chr1	3000320	22433792	3928064
chr1	3000320	22433792	3930112
chr1	3000320	22433792	3932160
chr1	3000320	22433792	3934208
chr1	3000320	22433792	3936256
chr1	3000320	22433792	3938304
chr1	3000320	22433792	3940352
chr1	3000320	22433792	3942400
chr1	3000320	22433792	3944448
chr1	3000320	22433792	3946496
chr1	3000320	22433792	3948544
chr1	3000320	22433792	3950592
chr1	3000320	22433792	3952640
chr1	3000320	22433792	3954688
chr1	3000320	22433792	3956736
chr1	3000320	22433792	3958784
chr1	3000320	22433792	3960832
chr1	3000320	22433792	3962880
chr1	3000320	22433792	3964928
chr1	3000320	22433792	3966976
chr1	3000320	22433792	3969024
chr1	3000320	22433792	3971072
chr1	3000320	22433792	3973120
chr1	3000320	22433792	3975168
chr1	3000320	22433792	3977216
chr1	3000320	22433792	3979264
chr1	3000320	22433792	3981312
chr1	3000320	22433792	3983360
chr1	3000320	22433792	3985408
chr1	3000320	22433792	3987456
chr1	3000320	22433792	3989504
chr1	3000320	22433792	3991552
chr1	3000320	22433792	3993600
chr1	3000320	22433792	3995648
chr1	3000320	22433792	3997696
chr1	3000320	22433792	3999744
chr1	3000320	22433792	4001792
chr1	3000320	22433792	4003840
chr1	3000320	22433792	4005888
chr1	3000320	22433792	4007936
chr1	3000320	22433792	4009984
chr1	3000320	22433792	4012032
chr1	3000320	22433792	4014080
chr1	3000320	22433792	4016128
chr1	3000320	22433792	4018176
chr1	3000320	22433792	4020224
chr1	3000320	22433792	4022272
chr1	3000320	22433792	4024320
chr1	3000320	22433792	4026368
chr1	3000320	22433792	4028416
chr1	3000320	22433792	4030464
chr1	3000320	22433792	4032512
chr1	3000320	22433792	4034560
chr1	3000320	22433792	4036608
chr1	3000320	22433792	4038656
chr1	3000320	22433792	4040704
chr1	3000320	22433792	4042752
chr1	3000320	22433792	4044800
chr1	3000320	22433792	4046848
chr1	3000320	22433792	4048896
chr1	3000320	22433792	4050944
chr1	3000320	22433792	4052992
chr1	3000320	22433792	4055040
chr1	3000320	22433792	4057088
chr1	3000320	22433792	4059136
chr1	3000320	22433792	4061184
chr1	3000320	22433792	4063232
chr1	3000320	22433792	4065280
chr1	3000320	22433792	4067328
chr1	3000320	22433792	4069376
chr1	3000320	22433792	4071424
chr1	3000320	22433792	4073472
chr1	3000320	22433792	4075520
chr1	3000320	22433792	4077568
chr1	3000320	22433792	4079616
chr1	3000320	22433792	4081664
chr1	3000320	22433792	4083712
chr1	3000320	22433792	4085760
chr1	3000320	22433792	4087808
chr1	3000320	22433792	4089856
chr1	3000320	22433792	4091904
chr1	3000320	22433792	4093952
chr1	3000320	22433792	4096000
chr1	3000320	22433792	4098048
chr1	3000320	22433792	4100096
chr1	3000320	22433792	4102144
chr1	3000320	22433792	4104192
chr1	3000320	22433792	4106240
chr1	3000320	22433792	4108288
chr1	3000320	22433792	4110336
chr1	3000320	22433792	4112384
chr1	3000320	22433792	4114432
chr1	3000320	22433792	4116480
chr1	3000320	22433792	4118528
chr1	3000320	22433792	4120576
chr1	3000320	22433792	4122624
chr1	3000320	22433792	4124672
chr1	3000320	22433792	4126720
chr1	3000320	22433792	4128768
chr1	3000320	22433792	4130816
chr1	3000320	22433792	4132864
chr1	3000320	22433792	4134912
chr1	3000320	22433792	4136960
chr1	3000320	22433792	4139008
chr1	3000320	22433792	4141056
chr1	3000320	22433792	4143104
chr1	3000320	22433792	4145152
chr1	3000320	22433792	4147200
chr1	3000320	22433792	4149248
chr1	3000320	22433792	4151296
chr1	3000320	22433792	4153344
chr1	3000320	22433792	4155392
chr1	3000320	22433792	4157440
chr1	3000320	22433792	4159488
chr1	3000320	22433792	4161536
chr1	3000320	22433792	4163584
chr1	3000320	22433792	4165632
chr1	3000320	22433792	4167680
chr1	3000320	22433792	4169728
chr1	3000320	22433792	4171776
chr1	3000320	22433792	4173824
chr1	3000320	22433792	4175872
chr1	3000320	22433792	4177920
chr1	3000320	22433792	4179968
chr1	3000320	22433792	4182016
chr1	3000320	22433792	4184064
chr1	3000320	22433792	4186112
chr1	3000320	22433792	4188160
chr1	3000320	22433792	4190208
chr1	3000320	22433792	4192256
chr1	3000320	22433792	4194304
chr1	3000320	22433792	4196352
chr1	3000320	22433792	4198400
chr1	3000320	22433792	4200448
chr1	3000320	22433792	4202496
chr1	3000320	22433792	4204544
chr1	3000320	22433792	4206592
chr1	3000320	22433792	4208640
chr1	3000320	22433792	4210688
chr1	3000320	22433792	4212736
chr1	3000320	22433792	4214784
chr1	3000320	22433792	4216832
chr1	3000320	22433792	4218880
chr1	3000320	22433792	4220928
chr1	3000320	22433792	4222976
chr1	3000320	22433792	4225024
chr1	3000320	22433792	4227072
chr1	3000320	22433792	4229120
chr1	3000320	22433792	4231168
chr1	3000320	22433792	4233216
chr1	3000320	22433792	4235264
chr1	3000320	22433792	4237312
chr1	3000320	22433792	4239360
chr1	3000320	22433792	4241408
chr1	3000320	22433792	4243456
chr1	3000320	22433792	4245504
chr1	3000320	22433792	4247552
chr1	3000320	22433792	4249600
chr1	3000320	22433792	4251648
chr1	3000320	22433792	4253696
chr1	3000320	22433792	4255744
chr1	3000320	22433792	4257792
chr1	3000320	22433792	4259840
chr1	3000320	22433792	4261888
chr1	3000320	22433792	4263936
chr1	3000320	22433792	4265984
chr1	3000320	22433792	4268032
chr1	3000320	22433792	4270080
chr1	3000320	22433792	4272128
chr1	3000320	22433792	4274176
chr1	3000320	22433792	4276224
chr1	3000320	22433792	4278272
chr1	3000320	22433792	4280320
chr1	3000320	22433792	4282368
chr1	3000320	22433792	4284416
chr1	3000320	22433792	4286464
chr1	3000320	22433792	4288512
chr1	3000320	22433792	4290560
chr1	3000320	22433792	4292608
chr1	3000320	22433792	4294656
chr1	3000320	22433792	4296704
chr1	3000320	22433792	4298752
chr1	3000320	22433792	4300800
chr1	3000320	22433792	4302848
chr1	3000320	22433792	4304896
chr1	3000320	22433792	4306944
chr1	3000320	22433792	4308992
chr1	3000320	22433792	4311040
chr1	3000320	22433792	4313088
chr1	3000320	22433792	4315136
chr1	3000320	22433792	4317184
chr1	3000320	22433792	4319232
chr1	3000320	22433792	4321280
chr1	3000320	22433792	4323328
chr1	3000320	22433792	4325376
chr1	3000320	22433792	4327424
chr1	3000320	22433792	4329472
chr1	3000320	22433792	4331520
chr1	3000320	22433792	4333568
chr1	3000320	22433792	4335616
chr1	3000320	22433792	4337664
chr1	3000320	22433792	4339712
chr1	3000320	22433792	4341760
chr1	3000320	22433792	4343808
chr1	3000320	22433792	4345856
chr1	3000320	22433792	4347904
chr1	3000320	22433792	4349952
chr1	3000320	22433792	4352000
chr1	3000320	22433792	4354048
chr1	3000320	22433792	4356096
chr1	3000320	22433792	4358144
chr1	3000320	22433792	4360192
chr1	3000320	22433792	4362240
chr1	3000320	22433792	4364288
chr1	3000320	22433792	4366336
chr1	3000320	22433792	4368384
chr1	3000320	22433792	4370432
chr1	3000320	22433792	4372480
chr1	3000320	22433792	4374528
chr1	3000320	22433792	4376576
chr1	3000320	22433792	4378624
chr1	3000320	22433792	4380672
chr1	3000320	22433792	4382720
chr1	3000320	22433792	4384768
chr1	3000320	22433792	4386816
chr1	3000320	22433792	4388864
chr1	3000320	22433792	4390912
chr1	3000320	22433792	4392960
chr1	3000320	22433792	4395008
chr1	3000320	22433792	4397056
chr1	3000320	22433792	4399104
chr1	3000320	22433792	4401152
chr1	3000320	22433792	4403200
chr1	3000320	22433792	4405248
chr1	3000320	22433792	4407296
chr1	3000320	22433792	4409344
chr1	3000320	22433792	4411392
chr1	3000320	22433792	4413440
chr1	3000320	22433792	4415488
chr1	3000320	22433792	4417536
chr1	3000320	22433792	4419584
chr1	3000320	22433792	4421632
chr1	3000320	22433792	4423680
chr1	3000320	22433792	4425728
chr1	3000320	22433792	4427776
chr1	3000320	22433792	4429824
chr1	3000320	22433792	4431872
chr1	3000320	22433792	4433920
chr1	3000320	22433792	4435968
chr1	3000320	22433792	4438016
chr1	3000320	22433792	4440064
chr1	3000320	22433792	4442112
chr1	3000320	22433792	4444160
chr1	3000320	22433792	4446208
chr1	3000320	22433792	4448256
chr1	3000320	22433792	4450304
chr1	3000320	22433792	4452352
chr1	3000320	22433792	4454400
chr1	3000320	22433792	4456448
chr1	3000320	22433792	4458496
chr1	3000320	22433792	4460544
chr1	3000320	22433792	4462592
chr1	3000320	22433792	4464640
chr1	3000320	22433792	4466688
chr1	3000320	22433792	4468736
chr1	3000320	22433792	4470784
chr1	3000320	22433792	4472832
chr1	3000320	22433792	4474880
chr1	3000320	22433792	4476928
chr1	3000320	22433792	4478976
chr1	3000320	22433792	4481024
chr1	3000320	22433792	4483072
chr1	3000320	22433792	4485120
chr1	3000320	22433792	4487168
chr1	3000320	22433792	4489216
chr1	3000320	22433792	4491264
chr1	3000320	22433792	4493312
chr1	3000320	22433792	4495360
chr1	3000320	22433792	4497408
chr1	3000320	22433792	4499456
chr1	3000320	22433792	4501504
chr1	3000320	22433792	4503552
chr1	3000320	22433792	4505600
chr1	3000320	22433792	4507648
chr1	3000320	22433792	4509696
chr1	3000320	22433792	4511744
chr1	3000320	22433792	4513792
chr1	3000320	22433792	4515840
chr1	3000320	22433792	4517888
chr1	3000320	22433792	4519936
chr1	3000320	22433792	4521984
chr1	3000320	22433792	4524032
chr1	3000320	22433792	4526080
chr1	3000320	22433792	4528128
chr1	3000320	22433792	4530176
chr1	3000320	22433792	4532224
chr1	3000320	22433792	4534272
chr1	3000320	22433792	4536320
chr1	3000320	22433792	4538368
chr1	3000320	22433792	4540416
chr1	3000320	22433792	4542464
chr1	3000320	22433792	4544512
chr1	3000320	22433792	4546560
chr1	3000320	22433792	4548608
chr1	3000320	22433792	4550656
chr1	3000320	22433792	4552704
chr1	3000320	22433792	4554752
chr1	3000320	22433792	4556800
chr1	3000320	22433792	4558848
chr1	3000320	22433792	4560896
chr1	3000320	22433792	4562944
chr1	3000320	22433792	4564992
chr1	3000320	22433792	4567040
chr1	3000320	22433792	4569088
chr1	3000320	22433792	4571136
chr1	3000320	22433792	4573184
chr1	3000320	22433792	4575232
chr1	3000320	22433792	4577280
chr1	3000320	22433792	4579328
chr1	3000320	22433792	4581376
chr1	3000320	22433792	4583424
chr1	3000320	22433792	4585472
chr1	3000320	22433792	4587520
chr1	3000320	22433792	4589568
chr1	3000320	22433792	4591616
chr1	3000320	22433792	4593664
chr1	3000320	22433792	4595712
chr1	3000320	22433792	4597760
chr1	3000320	22433792	4599808
chr1	3000320	22433792	4601856
chr1	3000320	22433792	4603904
chr1	3000320	22433792	4605952
chr1	3000320	22433792	4608000
chr1	3000320	22433792	4610048
chr1	3000320	22433792	4612096
chr1	3000320	22433792	4614144
chr1	3000320	22433792	4616192
chr1	3000320	22433792	4618240
chr1	3000320	22433792	4620288
chr1	3000320	22433792	4622336
chr1	3000320	22433792	4624384
chr1	3000320	22433792	4626432
chr1	3000320	22433792	4628480
chr1	3000320	22433792	4630528
chr1	3000320	22433792	4632576
chr1	3000320	22433792	4634624
chr1	3000320	22433792	4636672
chr1	3000320	22433792	4638720
chr1	3000320	22433792	4640768
chr1	3000320	22433792	4642816
chr1	3000320	22433792	4644864
chr1	3000320	22433792	4646912
chr1	3000320	22433792	4648960
chr1	3000320	22433792	4651008
chr1	3000320	22433792	4653056
chr1	3000320	22433792	4655104
chr1	3000320	22433792	4657152
chr1	3000320	22433792	4659200
chr1	3000320	22433792	4661248
chr1	3000320	22433792	4663296
chr1	3000320	22433792	4665344
chr1	3000320	22433792	4667392
chr1	3000320	22433792	4669440
chr1	3000320	22433792	4671488
chr1	3000320	22433792	4673536
chr1	3000320	22433792	4675584
chr1	3000320	22433792	4677632
chr1	3000320	22433792	4679680
chr1	3000320	22433792	4681728
chr1	3000320	22433792	4683776
chr1	3000320	22433792	4685824
chr1	3000320	22433792	4687872
chr1	3000320	22433792	4689920
chr1	3000320	22433792	4691968
chr1	3000320	22433792	4694016
chr1	3000320	22433792	4696064
chr1	3000320	22433792	4698112
chr1	3000320	22433792	4700160
chr1	3000320	22433792	4702208
chr1	3000320	22433792	4704256
chr1	3000320	22433792	4706304
chr1	3000320	22433792	4708352
chr1	3000320	22433792	4710400
chr1	3000320	22433792	4712448
chr1	3000320	22433792	4714496
chr1	3000320	22433792	4716544
chr1	3000320	22433792	4718592
chr1	3000320	22433792	4720640
chr1	3000320	22433792	4722688
chr1	3000320	22433792	4724736
chr1	3000320	22433792	4726784
chr1	3000320	22433792	4728832
chr1	3000320	22433792	4730880
chr1	3000320	22433792	4732928
chr1	3000320	22433792	4734976
chr1	3000320	22433792	4737024
chr1	3000320	22433792	4739072
chr1	3000320	22433792	4741120
chr1	3000320	22433792	4743168
chr1	3000320	22433792	4745216
chr1	3000320	22433792	4747264
chr1	3000320	22433792	4749312
chr1	3000320	22433792	4751360
chr1	3000320	22433792	4753408
chr1	3000320	22433792	4755456
chr1	3000320	22433792	4757504
chr1	3000320	22433792	4759552
chr1	3000320	22433792	4761600
chr1	3000320	22433792	4763648
chr1	3000320	22433792	4765696
chr1	3000320	22433792	4767744
chr1	3000320	22433792	4769792
chr1	3000320	22433792	4771840
chr1	3000320	22433792	4773888
chr1	3000320	22433792	4775936
chr1	3000320	22433792	4777984
chr1	3000320	22433792	4780032
chr1	3000320	22433792	4782080
chr1	3000320	22433792	4784128
chr1	3000320	22433792	4786176
