chrom	start	end	boundary_span	jaspar_score	strand	FDR	DETECTION_SCALE	seq_id
chr7	92821678	92821697	92820000-92830000	830.0	-	0.0498070252766716	2.599207668339954	60
chr7	92827531	92827550	92820000-92830000	811.0	-	0.0498070252766716	2.599207668339954	61
chr7	109230903	109230922	109230000-109240000	887.0	+	0.0498070252766716	2.111212657236631	62
chr7	109231647	109231666	109230000-109240000	801.0	-	0.0498070252766716	2.111212657236631	63
chr7	109234808	109234827	109230000-109240000	833.0	+	0.0498070252766716	2.111212657236631	64
chr7	109234985	109235004	109230000-109240000	826.0	+	0.0498070252766716	2.111212657236631	65
chr7	109424738	109424757	109420000-109430000	863.0	-	0.0498070252766716	2.111212657236631	66
chr7	92105669	92105688	92100000-92110000	878.0	+	0.0498070252766716	2.599207668339954	67
chr7	92103067	92103086	92100000-92110000	840.0	+	0.0498070252766716	2.599207668339954	68
chr7	109423117	109423136	109420000-109430000	840.0	+	0.0498070252766716	2.111212657236631	69
chr18	32287087	32287106	32280000-32290000	813.0	-	0.0497866563756521	2.111212657236631	70
chr18	32435582	32435601	32430000-32440000	825.0	-	0.0497866563756521	2.111212657236631	71
chr18	32285297	32285316	32280000-32290000	913.0	+	0.0497866563756521	2.111212657236631	72
chr18	32432474	32432493	32430000-32440000	976.0	+	0.0497866563756521	2.111212657236631	73
chr11	83795578	83795597	83790000-83800000	826.0	-	0.0497755004344651	3.2	74
chr11	83792532	83792551	83790000-83800000	816.0	+	0.0497755004344651	3.2	75
chr11	83793285	83793304	83790000-83800000	808.0	-	0.0497755004344651	3.2	76
chr11	84032218	84032237	84030000-84040000	896.0	-	0.0497755004344651	3.2	77
chr6	34760205	34760224	34760000-34770000	951.0	-	0.0497752903660729	2.111212657236631	78
chr6	34762334	34762353	34760000-34770000	818.0	-	0.0497752903660729	2.111212657236631	79
chr6	34761771	34761790	34760000-34770000	829.0	-	0.0497752903660729	2.111212657236631	80
chr6	34768881	34768900	34760000-34770000	812.0	-	0.0497752903660729	2.111212657236631	81
chr6	34760316	34760335	34760000-34770000	801.0	+	0.0497752903660729	2.111212657236631	82
chr18	52952657	52952676	52950000-52960000	814.0	-	0.0497593183884764	2.111212657236631	83
chr18	52956635	52956654	52950000-52960000	894.0	+	0.0497593183884764	2.111212657236631	84
chr18	53253124	53253143	53250000-53260000	812.0	+	0.0497593183884764	2.111212657236631	85
chr18	53250199	53250218	53250000-53260000	820.0	+	0.0497593183884764	2.111212657236631	86
chr18	52952210	52952229	52950000-52960000	803.0	+	0.0497593183884764	2.111212657236631	87
chr14	12027149	12027168	12020000-12030000	807.0	+	0.0497507784150243	2.111212657236631	88
chr14	12137635	12137654	12130000-12140000	800.0	+	0.0497507784150243	2.111212657236631	89
chr14	12139254	12139273	12130000-12140000	841.0	+	0.0497507784150243	2.111212657236631	90
chr14	12028902	12028921	12020000-12030000	815.0	-	0.0497507784150243	2.111212657236631	91
chr7	48749365	48749384	48740000-48750000	904.0	+	0.0497487672458621	2.111212657236631	92
chr15	28024430	28024449	28020000-28030000	803.0	-	0.049711047227682	2.111212657236631	93
chr15	28020253	28020272	28020000-28030000	809.0	+	0.049711047227682	2.111212657236631	94
chr15	28179810	28179829	28170000-28180000	825.0	-	0.049711047227682	2.111212657236631	95
chr15	28177057	28177076	28170000-28180000	855.0	+	0.049711047227682	2.111212657236631	96
chr15	28025763	28025782	28020000-28030000	801.0	+	0.049711047227682	2.111212657236631	97
chr15	28026275	28026294	28020000-28030000	814.0	+	0.049711047227682	2.111212657236631	98
chr15	28020613	28020632	28020000-28030000	817.0	-	0.049711047227682	2.111212657236631	99
chr1	155537447	155537466	155530000-155540000	931.0	-	0.0497036960801147	2.111212657236631	100
chr3	56000457	56000476	56000000-56010000	935.0	+	0.0496629317102151	3.6758347359905126	101
chr3	57004852	57004871	57000000-57010000	904.0	-	0.0496629317102151	3.6758347359905126	102
chr3	56008148	56008167	56000000-56010000	960.0	+	0.0496629317102151	3.6758347359905126	103
chr3	56009457	56009476	56000000-56010000	850.0	+	0.0496629317102151	3.6758347359905126	104
chr3	57004112	57004131	57000000-57010000	868.0	-	0.0496629317102151	3.6758347359905126	105
chr16	47765959	47765978	47760000-47770000	848.0	-	0.0496453883677788	2.599207668339954	106
chr2	104035316	104035335	104030000-104040000	833.0	+	0.0496225989671819	2.111212657236631	107
chr2	104035019	104035038	104030000-104040000	886.0	+	0.0496225989671819	2.111212657236631	108
chr2	104578988	104579007	104570000-104580000	844.0	+	0.0496225989671819	2.111212657236631	109
chr13	78953039	78953058	78950000-78960000	830.0	+	0.0496160859035752	2.599207668339954	110
chr13	78202258	78202277	78200000-78210000	815.0	-	0.0496160859035752	2.599207668339954	111
chr13	78201735	78201754	78200000-78210000	870.0	-	0.0496160859035752	2.599207668339954	112
chr8	34189004	34189023	34180000-34190000	801.0	+	0.0496152826439862	3.2	113
chr8	34187001	34187020	34180000-34190000	849.0	+	0.0496152826439862	3.2	114
chr8	35837931	35837950	35830000-35840000	802.0	-	0.0496152826439862	3.2	115
chr8	34180069	34180088	34180000-34190000	929.0	+	0.0496152826439862	3.2	116
chr12	26296192	26296211	26290000-26300000	906.0	-	0.0495920087075929	2.111212657236631	117
chr12	25170772	25170791	25170000-25180000	841.0	+	0.0495920087075929	2.111212657236631	118
chr12	25175575	25175594	25170000-25180000	856.0	-	0.0495920087075929	2.111212657236631	119
chr5	148793250	148793269	148790000-148800000	886.0	-	0.0495689912438724	2.111212657236631	120
chr5	148791391	148791410	148790000-148800000	842.0	-	0.0495689912438724	2.111212657236631	121
chr5	148795957	148795976	148790000-148800000	800.0	-	0.0495689912438724	2.111212657236631	122
chr5	148794549	148794568	148790000-148800000	830.0	+	0.0495689912438724	2.111212657236631	123
chr5	148325472	148325491	148320000-148330000	883.0	+	0.0495689912438724	2.111212657236631	124
chr5	148325312	148325331	148320000-148330000	880.0	+	0.0495689912438724	2.111212657236631	125
chr5	148325807	148325826	148320000-148330000	808.0	-	0.0495689912438724	2.111212657236631	126
chr5	148329563	148329582	148320000-148330000	814.0	-	0.0495689912438724	2.111212657236631	127
chr5	148799721	148799740	148790000-148800000	827.0	-	0.0495689912438724	2.111212657236631	128
chr5	148794781	148794800	148790000-148800000	823.0	+	0.0495689912438724	2.111212657236631	129
chr5	148794685	148794704	148790000-148800000	917.0	-	0.0495689912438724	2.111212657236631	130
chr5	148792844	148792863	148790000-148800000	819.0	-	0.0495689912438724	2.111212657236631	131
chr1	115686669	115686688	115680000-115690000	856.0	+	0.0495396584708573	2.599207668339954	132
chr1	115684672	115684691	115680000-115690000	801.0	+	0.0495396584708573	2.599207668339954	133
chr15	21540388	21540407	21540000-21550000	816.0	-	0.0495234203470212	2.599207668339954	134
chr5	118020395	118020414	118020000-118030000	817.0	-	0.0495128808511362	2.111212657236631	135
chr5	119806930	119806949	119800000-119810000	811.0	+	0.0495128808511362	2.111212657236631	136
chr5	119804782	119804801	119800000-119810000	806.0	+	0.0495128808511362	2.111212657236631	137
chr5	119800368	119800387	119800000-119810000	805.0	-	0.0495128808511362	2.111212657236631	138
chr5	118029750	118029769	118020000-118030000	804.0	+	0.0495128808511362	2.111212657236631	139
chr3	49266236	49266255	49260000-49270000	865.0	+	0.049501844909294	2.111212657236631	140
chr3	50074237	50074256	50070000-50080000	806.0	-	0.049501844909294	2.111212657236631	141
chr3	50077150	50077169	50070000-50080000	930.0	-	0.049501844909294	2.111212657236631	142
chr18	49486684	49486703	49480000-49490000	801.0	-	0.0494954260817792	2.111212657236631	143
chr18	49488499	49488518	49480000-49490000	800.0	+	0.0494954260817792	2.111212657236631	144
chr18	49480290	49480309	49480000-49490000	827.0	+	0.0494954260817792	2.111212657236631	145
chr18	49361975	49361994	49360000-49370000	804.0	+	0.0494954260817792	2.111212657236631	146
chr18	49488586	49488605	49480000-49490000	884.0	-	0.0494954260817792	2.111212657236631	147
chr17	6037677	6037696	6030000-6040000	831.0	-	0.0494937464546349	4.222425314473262	148
chr17	5439982	5440001	5430000-5440000	810.0	+	0.0494937464546349	4.222425314473262	149
chr3	45558309	45558328	45550000-45560000	811.0	-	0.0494837348619422	2.111212657236631	150
chr3	45555918	45555937	45550000-45560000	901.0	+	0.0494837348619422	2.111212657236631	151
chr3	88607594	88607613	88600000-88610000	864.0	+	0.0494656111770853	2.111212657236631	152
chr3	88742634	88742653	88740000-88750000	822.0	-	0.0494656111770853	2.111212657236631	153
chr3	88607956	88607975	88600000-88610000	834.0	-	0.0494656111770853	2.111212657236631	154
chr3	88606566	88606585	88600000-88610000	819.0	-	0.0494656111770853	2.111212657236631	155
chr19	28175667	28175686	28170000-28180000	813.0	+	0.0494572145288576	2.111212657236631	156
chr19	27447444	27447463	27440000-27450000	823.0	-	0.0494572145288576	2.111212657236631	157
chr19	27442066	27442085	27440000-27450000	806.0	+	0.0494572145288576	2.111212657236631	158
chr19	28178027	28178046	28170000-28180000	800.0	+	0.0494572145288576	2.111212657236631	159
chr19	27447646	27447665	27440000-27450000	923.0	+	0.0494572145288576	2.111212657236631	160
chr15	24589102	24589121	24580000-24590000	934.0	+	0.0494471390931672	2.111212657236631	161
chr15	24589762	24589781	24580000-24590000	821.0	-	0.0494471390931672	2.111212657236631	162
chr15	25497724	25497743	25490000-25500000	823.0	+	0.0494471390931672	2.111212657236631	163
chr15	25495727	25495746	25490000-25500000	827.0	+	0.0494471390931672	2.111212657236631	164
chr15	25493068	25493087	25490000-25500000	809.0	+	0.0494471390931672	2.111212657236631	165
chr15	25497260	25497279	25490000-25500000	807.0	-	0.0494471390931672	2.111212657236631	166
chr15	25494758	25494777	25490000-25500000	823.0	-	0.0494471390931672	2.111212657236631	167
chr9	53644003	53644022	53640000-53650000	810.0	+	0.0494283394965072	2.111212657236631	168
chr9	53645356	53645375	53640000-53650000	804.0	+	0.0494283394965072	2.111212657236631	169
chr12	56534841	56534860	56530000-56540000	809.0	-	0.0493755241695803	4.222425314473262	170
chr12	56533889	56533908	56530000-56540000	826.0	-	0.0493755241695803	4.222425314473262	171
chr12	56534993	56535012	56530000-56540000	821.0	+	0.0493755241695803	4.222425314473262	172
chr12	56530911	56530930	56530000-56540000	809.0	-	0.0493755241695803	4.222425314473262	173
chr12	56536085	56536104	56530000-56540000	818.0	-	0.0493755241695803	4.222425314473262	174
chr4	8085125	8085144	8080000-8090000	857.0	-	0.049356711272735	2.599207668339954	175
chr4	8083924	8083943	8080000-8090000	804.0	+	0.049356711272735	2.599207668339954	176
chr15	82450943	82450962	82450000-82460000	810.0	-	0.0493557188691682	3.2	177
chr15	82453714	82453733	82450000-82460000	858.0	-	0.0493557188691682	3.2	178
chr13	89342401	89342420	89340000-89350000	807.0	+	0.0493268589101816	2.111212657236631	179
chr17	7825429	7825448	7820000-7830000	807.0	-	0.0493138676412939	3.2	180
chr17	7821998	7822017	7820000-7830000	820.0	-	0.0493138676412939	3.2	181
chr17	7826123	7826142	7820000-7830000	856.0	-	0.0493138676412939	3.2	182
chr17	7827254	7827273	7820000-7830000	818.0	-	0.0493138676412939	3.2	183
chr17	7827341	7827360	7820000-7830000	823.0	-	0.0493138676412939	3.2	184
chr8	57939644	57939663	57930000-57940000	938.0	+	0.0493025005327295	3.2	185
chr8	57933809	57933828	57930000-57940000	871.0	+	0.0493025005327295	3.2	186
chr9	110631382	110631401	110630000-110640000	871.0	-	0.0492970271202178	2.111212657236631	187
chr9	110630343	110630362	110630000-110640000	810.0	-	0.0492970271202178	2.111212657236631	188
chr9	110631100	110631119	110630000-110640000	810.0	+	0.0492970271202178	2.111212657236631	189
chr9	122702430	122702449	122700000-122710000	892.0	+	0.0492970271202178	5.198415336679908	190
chr9	110631838	110631857	110630000-110640000	802.0	-	0.0492970271202178	2.111212657236631	191
chr9	110411060	110411079	110410000-110420000	841.0	+	0.0492970271202178	2.111212657236631	192
chr9	110632337	110632356	110630000-110640000	840.0	-	0.0492970271202178	2.111212657236631	193
chr9	110632831	110632850	110630000-110640000	815.0	+	0.0492970271202178	2.111212657236631	194
chr9	110630910	110630929	110630000-110640000	821.0	-	0.0492970271202178	2.111212657236631	195
chr9	110632983	110633002	110630000-110640000	804.0	-	0.0492970271202178	2.111212657236631	196
chr9	110411692	110411711	110410000-110420000	903.0	+	0.0492970271202178	2.111212657236631	197
chr9	110635422	110635441	110630000-110640000	922.0	+	0.0492970271202178	2.111212657236631	198
chr9	110413976	110413995	110410000-110420000	950.0	+	0.0492970271202178	2.111212657236631	199
chr9	122430912	122430931	122430000-122440000	857.0	-	0.0492970271202178	5.198415336679908	200
chr9	110636431	110636450	110630000-110640000	814.0	+	0.0492970271202178	2.111212657236631	201
chr9	110638902	110638921	110630000-110640000	832.0	+	0.0492970271202178	2.111212657236631	202
chr9	110417309	110417328	110410000-110420000	832.0	-	0.0492970271202178	2.111212657236631	203
chr9	110630706	110630725	110630000-110640000	808.0	+	0.0492970271202178	2.111212657236631	204
chr2	96316729	96316748	96310000-96320000	913.0	-	0.0492891656563037	2.599207668339954	205
chr2	94267539	94267558	94260000-94270000	814.0	+	0.0492891656563037	3.6758347359905126	206
chr2	103349876	103349895	103340000-103350000	812.0	+	0.0492891656563037	3.2	207
chr2	94479899	94479918	94470000-94480000	819.0	-	0.0492891656563037	2.599207668339954	208
chr2	103349615	103349634	103340000-103350000	808.0	-	0.0492891656563037	3.2	209
chr2	94470909	94470928	94470000-94480000	874.0	+	0.0492891656563037	2.599207668339954	210
chr2	94471433	94471452	94470000-94480000	834.0	+	0.0492891656563037	2.599207668339954	211
chr2	94263839	94263858	94260000-94270000	834.0	-	0.0492891656563037	3.6758347359905126	212
chr2	103347484	103347503	103340000-103350000	917.0	-	0.0492891656563037	3.2	213
chr2	94473181	94473200	94470000-94480000	861.0	-	0.0492891656563037	2.599207668339954	214
chr2	94479232	94479251	94470000-94480000	815.0	+	0.0492891656563037	2.599207668339954	215
chr2	103347711	103347730	103340000-103350000	828.0	-	0.0492891656563037	3.2	216
chr2	94263131	94263150	94260000-94270000	829.0	+	0.0492891656563037	3.6758347359905126	217
chr2	103347626	103347645	103340000-103350000	806.0	-	0.0492891656563037	3.2	218
chr2	103345658	103345677	103340000-103350000	840.0	+	0.0492891656563037	3.2	219
chr2	102677845	102677864	102670000-102680000	803.0	-	0.0492891656563037	3.2	220
chr2	96318988	96319007	96310000-96320000	815.0	+	0.0492891656563037	2.599207668339954	221
chr2	102670121	102670140	102670000-102680000	806.0	+	0.0492891656563037	3.2	222
chr2	102675458	102675477	102670000-102680000	930.0	+	0.0492891656563037	3.2	223
chr2	102675181	102675200	102670000-102680000	811.0	+	0.0492891656563037	3.2	224
chr2	102672439	102672458	102670000-102680000	805.0	+	0.0492891656563037	3.2	225
chr2	94472854	94472873	94470000-94480000	811.0	+	0.0492891656563037	2.599207668339954	226
chr16	90676328	90676347	90670000-90680000	897.0	+	0.0492633856389249	3.2	227
chr16	90672346	90672365	90670000-90680000	870.0	+	0.0492633856389249	3.2	228
chr16	90672083	90672102	90670000-90680000	822.0	+	0.0492633856389249	3.2	229
chr16	90367158	90367177	90360000-90370000	805.0	-	0.0492633856389249	3.2	230
chr2	131511468	131511487	131510000-131520000	814.0	+	0.0492520165235371	2.111212657236631	231
chr2	130962040	130962059	130960000-130970000	941.0	+	0.0492520165235371	2.111212657236631	232
chr2	131512235	131512254	131510000-131520000	805.0	-	0.0492520165235371	2.111212657236631	233
chr2	131515976	131515995	131510000-131520000	816.0	+	0.0492520165235371	2.111212657236631	234
chr2	131514243	131514262	131510000-131520000	831.0	+	0.0492520165235371	2.111212657236631	235
chr2	131510216	131510235	131510000-131520000	881.0	-	0.0492520165235371	2.111212657236631	236
chr2	131512776	131512795	131510000-131520000	809.0	+	0.0492520165235371	2.111212657236631	237
chr2	131516206	131516225	131510000-131520000	813.0	+	0.0492520165235371	2.111212657236631	238
chr11	3533737	3533756	3530000-3540000	805.0	-	0.0492386834154921	2.111212657236631	239
chr11	3530994	3531013	3530000-3540000	812.0	+	0.0492386834154921	2.111212657236631	240
chr11	3537508	3537527	3530000-3540000	801.0	-	0.0492386834154921	2.111212657236631	241
chr11	8855616	8855635	8850000-8860000	834.0	+	0.0492386834154921	2.111212657236631	242
chr11	3531452	3531471	3530000-3540000	805.0	-	0.0492386834154921	2.111212657236631	243
chr11	19013009	19013028	19010000-19020000	837.0	-	0.0492386834154921	2.599207668339954	244
chr11	3534985	3535004	3530000-3540000	860.0	-	0.0492386834154921	2.111212657236631	245
chr11	3529982	3530001	3530000-3540000	803.0	+	0.0492386834154921	2.111212657236631	246
chr11	5175237	5175256	5170000-5180000	801.0	-	0.0492386834154921	2.111212657236631	247
chr11	3535204	3535223	3530000-3540000	863.0	+	0.0492386834154921	2.111212657236631	248
chr11	3536359	3536378	3530000-3540000	827.0	+	0.0492386834154921	2.111212657236631	249
chr11	8642218	8642237	8640000-8650000	805.0	-	0.0492386834154921	2.111212657236631	250
chr11	5179765	5179784	5170000-5180000	848.0	-	0.0492386834154921	2.111212657236631	251
chr11	3536218	3536237	3530000-3540000	802.0	-	0.0492386834154921	2.111212657236631	252
chr11	3535666	3535685	3530000-3540000	816.0	+	0.0492386834154921	2.111212657236631	253
chr11	8856995	8857014	8850000-8860000	836.0	-	0.0492386834154921	2.111212657236631	254
chr11	3795687	3795706	3790000-3800000	815.0	+	0.0492386834154921	2.111212657236631	255
chr11	18000523	18000542	18000000-18010000	870.0	+	0.0492386834154921	2.599207668339954	256
chr11	3531830	3531849	3530000-3540000	873.0	-	0.0492386834154921	2.111212657236631	257
chr11	3535471	3535490	3530000-3540000	831.0	+	0.0492386834154921	2.111212657236631	258
chr11	8641513	8641532	8640000-8650000	836.0	-	0.0492386834154921	2.111212657236631	259
chr11	5452159	5452178	5450000-5460000	870.0	-	0.0492386834154921	2.111212657236631	260
chr11	19018667	19018686	19010000-19020000	843.0	-	0.0492386834154921	2.599207668339954	261
chr9	66818046	66818065	66810000-66820000	837.0	-	0.0492250706372596	4.222425314473262	262
chr9	66506112	66506131	66500000-66510000	822.0	+	0.0492250706372596	4.222425314473262	263
chr9	66504204	66504223	66500000-66510000	849.0	-	0.0492250706372596	4.222425314473262	264
chr9	66506656	66506675	66500000-66510000	804.0	+	0.0492250706372596	4.222425314473262	265
chr9	66504700	66504719	66500000-66510000	819.0	+	0.0492250706372596	4.222425314473262	266
chr9	66509565	66509584	66500000-66510000	804.0	+	0.0492250706372596	4.222425314473262	267
chr8	74683508	74683527	74680000-74690000	824.0	+	0.0491982340063313	2.599207668339954	268
chr8	72920108	72920127	72920000-72930000	826.0	-	0.0491982340063313	2.599207668339954	269
chr2	72220240	72220259	72220000-72230000	804.0	-	0.0491866751812827	3.6758347359905126	270
chr2	73285834	73285853	73280000-73290000	886.0	-	0.0491866751812827	3.6758347359905126	271
chr2	73281940	73281959	73280000-73290000	847.0	-	0.0491866751812827	3.6758347359905126	272
chr2	72229577	72229596	72220000-72230000	849.0	+	0.0491866751812827	3.6758347359905126	273
chr2	72222670	72222689	72220000-72230000	845.0	+	0.0491866751812827	3.6758347359905126	274
chr2	72223097	72223116	72220000-72230000	827.0	+	0.0491866751812827	3.6758347359905126	275
chr3	122499180	122499199	122490000-122500000	837.0	-	0.0491714356333981	2.111212657236631	276
chr3	122904269	122904288	122900000-122910000	941.0	-	0.0491714356333981	2.111212657236631	277
chr3	122498009	122498028	122490000-122500000	804.0	-	0.0491714356333981	2.111212657236631	278
chr3	122490348	122490367	122490000-122500000	809.0	+	0.0491714356333981	2.111212657236631	279
chr3	70874276	70874295	70870000-70880000	815.0	+	0.0491493454998175	2.111212657236631	280
chr3	61366084	61366103	61360000-61370000	817.0	+	0.0491493454998175	2.111212657236631	281
chr3	70104088	70104107	70100000-70110000	839.0	+	0.0491493454998175	2.111212657236631	282
chr3	70104711	70104730	70100000-70110000	831.0	+	0.0491493454998175	2.111212657236631	283
chr3	61830924	61830943	61830000-61840000	819.0	-	0.0491493454998175	2.111212657236631	284
chr3	70108536	70108555	70100000-70110000	811.0	+	0.0491493454998175	2.111212657236631	285
chr3	70109210	70109229	70100000-70110000	816.0	-	0.0491493454998175	2.111212657236631	286
chr3	70104897	70104916	70100000-70110000	894.0	+	0.0491493454998175	2.111212657236631	287
chr18	38856053	38856072	38850000-38860000	801.0	+	0.0491410425167857	2.111212657236631	288
chr18	38855739	38855758	38850000-38860000	858.0	+	0.0491410425167857	2.111212657236631	289
chr18	38921999	38922018	38920000-38930000	829.0	+	0.0491410425167857	2.111212657236631	290
chr18	38929297	38929316	38920000-38930000	814.0	-	0.0491410425167857	2.111212657236631	291
chr3	27973186	27973205	27970000-27980000	915.0	+	0.0490975627247878	2.599207668339954	292
chr3	28746324	28746343	28740000-28750000	906.0	-	0.0490975627247878	2.599207668339954	293
chr14	12155764	12155783	12150000-12160000	801.0	+	0.0490547553670475	2.111212657236631	294
chr14	12326094	12326113	12320000-12330000	861.0	+	0.0490547553670475	2.111212657236631	295
chr14	12152124	12152143	12150000-12160000	908.0	+	0.0490547553670475	2.111212657236631	296
chr14	12154266	12154285	12150000-12160000	803.0	-	0.0490547553670475	2.111212657236631	297
chr16	77532570	77532589	77530000-77540000	821.0	-	0.0490395275591491	3.2	298
chr16	77533866	77533885	77530000-77540000	849.0	-	0.0490395275591491	3.2	299
chr16	90925290	90925309	90920000-90930000	806.0	-	0.0490395275591491	2.111212657236631	300
chr16	90925659	90925678	90920000-90930000	914.0	-	0.0490395275591491	2.111212657236631	301
chr16	90927771	90927790	90920000-90930000	822.0	+	0.0490395275591491	2.111212657236631	302
chr16	77535216	77535235	77530000-77540000	878.0	+	0.0490395275591491	3.2	303
chr16	90928283	90928302	90920000-90930000	805.0	-	0.0490395275591491	2.111212657236631	304
chr16	77536919	77536938	77530000-77540000	841.0	-	0.0490395275591491	3.2	305
chr16	77531769	77531788	77530000-77540000	848.0	+	0.0490395275591491	3.2	306
chr16	77450129	77450148	77450000-77460000	815.0	+	0.0490395275591491	2.111212657236631	307
chr16	90926180	90926199	90920000-90930000	806.0	+	0.0490395275591491	2.111212657236631	308
chr16	90926324	90926343	90920000-90930000	819.0	-	0.0490395275591491	2.111212657236631	309
chr16	76772369	76772388	76770000-76780000	821.0	+	0.0490395275591491	3.2	310
chr16	90925052	90925071	90920000-90930000	808.0	+	0.0490395275591491	2.111212657236631	311
