Unnamed: 0	initial_df_index	chrom	end	start	strand	disruption_SCD	insertion_SCD	orientation	background_index	flank_bp	spacer_bp
102	4034	chr9	63136063	63136044	+	43.94	32.22	>>	0	0	90
103	1300	chr3	68056550	68056531	+	43.88	35.0	>>	0	0	90
104	1192	chr3	25220822	25220803	-	43.8	23.62	>>	0	0	90
105	3218	chr7	118102455	118102436	-	43.53	59.94	>>	0	0	90
106	3948	chr9	51335485	51335466	+	43.47	26.75	>>	0	0	90
107	6785	chr1	96671807	96671788	-	43.4	27.66	>>	0	0	90
108	862	chr2	113494904	113494885	+	43.34	43.28	>>	0	0	90
109	121	chr1	55404561	55404542	+	43.25	39.06	>>	0	0	90
110	1318	chr3	80079969	80079950	+	43.0	35.7	>>	0	0	90
111	4704	chr1	25862989	25862970	-	42.66	37.9	>>	0	0	90
112	5833	chr1	109213188	109213169	-	42.6	60.5	>>	0	0	90
113	3534	chr8	58566283	58566264	+	42.56	33.8	>>	0	0	90
114	6728	chr1	72218227	72218208	+	42.38	47.1	>>	0	0	90
115	6116	chr1	102510640	102510621	-	42.34	35.9	>>	0	0	90
116	3357	chr7	143154010	143153991	+	42.16	43.66	>>	0	0	90
117	2857	chr6	143219585	143219566	+	42.1	41.62	>>	0	0	90
118	7057	chr1	86906334	86906315	-	41.97	47.25	>>	0	0	90
119	3540	chr8	62080400	62080381	+	41.97	30.6	>>	0	0	90
120	1266	chr3	57843985	57843966	+	41.94	43.75	>>	0	0	90
121	7080	chr1	3495634	3495615	+	41.62	36.03	>>	0	0	90
122	3253	chr7	125393847	125393828	-	41.56	47.0	>>	0	0	90
123	3111	chr7	86211564	86211545	-	41.56	46.4	>>	0	0	90
124	4016	chr9	60245127	60245108	+	41.38	43.16	>>	0	0	90
125	2828	chr6	131353859	131353840	-	41.3	15.89	>>	0	0	90
126	6491	chr1	98173991	98173972	-	41.25	24.88	>>	0	0	90
127	7070	chr1	88641249	88641230	-	41.12	34.25	>>	0	0	90
128	4147	chr9	87027908	87027889	+	41.1	38.34	>>	0	0	90
129	1684	chr4	70621553	70621534	-	40.97	48.38	>>	0	0	90
130	5281	chr1	41487236	41487217	-	40.88	35.94	>>	0	0	90
131	1887	chr4	127368548	127368529	+	40.8	49.72	>>	0	0	90
132	3524	chr8	50293750	50293731	-	40.75	48.2	>>	0	0	90
133	6644	chr1	27468981	27468962	+	40.75	34.62	>>	0	0	90
134	3240	chr7	121641354	121641335	-	40.7	30.69	>>	0	0	90
135	1198	chr3	29726795	29726776	-	40.7	30.42	>>	0	0	90
136	5933	chr1	29110872	29110853	-	40.66	51.22	>>	0	0	90
137	5866	chr1	116712427	116712408	-	40.62	33.1	>>	0	0	90
138	7134	chr1	19939562	19939543	-	40.47	45.7	>>	0	0	90
139	6417	chr1	80704533	80704514	-	40.28	46.53	>>	0	0	90
140	7237	chr1	50137074	50137055	+	40.28	37.62	>>	0	0	90
141	5523	chr1	15763212	15763193	-	40.25	29.53	>>	0	0	90
142	7524	chr1	50185486	50185467	+	40.22	44.2	>>	0	0	90
143	5357	chr1	74013965	74013946	-	40.22	40.8	>>	0	0	90
144	368	chr1	138835543	138835524	+	40.06	20.81	>>	0	0	90
145	6288	chr1	55550924	55550905	-	40.06	37.12	>>	0	0	90
146	136	chr1	61771439	61771420	-	40.06	23.55	>>	0	0	90
147	5262	chr1	34664961	34664942	+	40.0	19.7	>>	0	0	90
148	6083	chr1	78288101	78288082	-	39.8	38.8	>>	0	0	90
149	552	chr2	4499416	4499397	+	39.78	33.88	>>	0	0	90
150	5569	chr1	30260132	30260113	-	39.75	32.75	>>	0	0	90
151	4064	chr9	68015271	68015252	+	39.2	39.0	>>	0	0	90
152	310	chr1	126993502	126993483	-	39.06	47.2	>>	0	0	90
153	6633	chr1	25349824	25349805	-	39.0	41.2	>>	0	0	90
154	34	chr1	14729249	14729230	-	38.94	39.3	>>	0	0	90
155	6299	chr1	59389427	59389408	+	38.7	46.34	>>	0	0	90
156	2725	chr6	100882590	100882571	+	38.66	49.44	>>	0	0	90
157	1163	chr3	9711121	9711102	+	38.62	35.47	>>	0	0	90
158	2489	chr6	21214019	21214000	-	38.47	24.2	>>	0	0	90
159	6903	chr1	42603617	42603598	-	38.47	42.5	>>	0	0	90
160	1699	chr4	80517548	80517529	-	38.47	41.4	>>	0	0	90
161	4140	chr9	85328584	85328565	-	38.28	30.06	>>	0	0	90
162	6909	chr1	44262001	44261982	+	38.22	44.16	>>	0	0	90
163	4579	chr1	102449665	102449646	+	38.2	48.84	>>	0	0	90
164	6810	chr1	14520745	14520726	-	38.12	30.45	>>	0	0	90
165	5663	chr1	51830925	51830906	+	38.0	56.0	>>	0	0	90
166	5394	chr1	83502436	83502417	-	37.97	34.4	>>	0	0	90
167	2204	chr5	75853265	75853246	-	37.94	27.88	>>	0	0	90
168	5839	chr1	110382742	110382723	+	37.88	61.84	>>	0	0	90
169	2176	chr5	62481159	62481140	-	37.8	35.4	>>	0	0	90
170	3005	chr7	49121503	49121484	-	37.7	29.61	>>	0	0	90
171	6195	chr1	11966575	11966556	-	37.66	34.72	>>	0	0	90
172	1203	chr3	31146135	31146116	+	37.53	44.5	>>	0	0	90
173	687	chr2	37815879	37815860	+	37.47	39.2	>>	0	0	90
174	2079	chr5	33033442	33033423	-	37.44	48.28	>>	0	0	90
175	3790	chr9	7595466	7595447	-	37.4	28.72	>>	0	0	90
176	2045	chr5	21641153	21641134	-	37.3	33.66	>>	0	0	90
177	5970	chr1	48367302	48367283	-	37.12	39.88	>>	0	0	90
178	6814	chr1	14524624	14524605	+	37.1	38.88	>>	0	0	90
179	1715	chr4	84064835	84064816	+	37.06	23.38	>>	0	0	90
180	1674	chr4	63368786	63368767	+	37.06	51.6	>>	0	0	90
181	2273	chr5	102149680	102149661	+	37.03	38.97	>>	0	0	90
182	5257	chr1	32897684	32897665	-	36.88	40.9	>>	0	0	90
183	6762	chr1	91936532	91936513	+	36.72	43.06	>>	0	0	90
184	2524	chr6	37046379	37046360	-	36.72	47.7	>>	0	0	90
185	7264	chr1	59081896	59081877	+	36.7	37.34	>>	0	0	90
186	2739	chr6	103697552	103697533	-	36.3	43.6	>>	0	0	90
187	7133	chr1	19937930	19937911	+	36.3	37.56	>>	0	0	90
188	2687	chr6	93757594	93757575	+	36.28	18.31	>>	0	0	90
189	6803	chr1	9756371	9756352	+	36.28	21.2	>>	0	0	90
190	834	chr2	96585854	96585835	+	36.25	26.84	>>	0	0	90
191	4970	chr1	82915176	82915157	+	36.2	36.34	>>	0	0	90
192	2474	chr6	6005837	6005818	+	36.03	35.2	>>	0	0	90
193	274	chr1	98392238	98392219	-	36.03	38.97	>>	0	0	90
194	3003	chr7	48749384	48749365	+	35.94	38.3	>>	0	0	90
195	5078	chr1	105911812	105911793	-	35.9	37.8	>>	0	0	90
196	4398	chr1	45045486	45045467	-	35.8	35.22	>>	0	0	90
197	551	chr2	4492748	4492729	-	35.75	19.97	>>	0	0	90
198	2483	chr6	18087397	18087378	+	35.75	40.84	>>	0	0	90
199	2233	chr5	90203341	90203322	+	35.7	41.12	>>	0	0	90
200	3305	chr7	136489148	136489129	+	35.62	28.06	>>	0	0	90
201	4239	chr9	109862620	109862601	-	35.6	34.12	>>	0	0	90
202	6300	chr1	59876355	59876336	+	35.3	32.16	>>	0	0	90
203	6076	chr1	76473612	76473593	-	35.25	45.66	>>	0	0	90
204	1456	chr3	128349320	128349301	+	35.03	41.75	>>	0	0	90
205	1232	chr3	45375963	45375944	+	35.03	23.92	>>	0	0	90
206	1470	chr3	133314669	133314650	+	34.97	39.0	>>	0	0	90
207	272	chr1	96801850	96801831	-	34.84	30.55	>>	0	0	90
208	3208	chr7	115216958	115216939	+	34.62	30.45	>>	0	0	90
209	4000	chr9	59282577	59282558	-	34.62	26.88	>>	0	0	90
210	989	chr2	148112135	148112116	-	34.5	31.5	>>	0	0	90
211	7239	chr1	52457916	52457897	-	34.47	28.2	>>	0	0	90
212	2585	chr6	56691454	56691435	-	34.34	42.2	>>	0	0	90
213	5536	chr1	20292580	20292561	-	34.3	38.5	>>	0	0	90
214	5705	chr1	57260119	57260100	-	34.25	52.66	>>	0	0	90
215	5858	chr1	113877615	113877596	+	34.25	36.75	>>	0	0	90
216	5869	chr1	116715029	116715010	-	34.1	31.72	>>	0	0	90
217	1714	chr4	83596692	83596673	-	34.1	52.75	>>	0	0	90
218	3545	chr8	64941619	64941600	-	34.06	33.75	>>	0	0	90
219	1239	chr3	51701488	51701469	+	34.03	22.56	>>	0	0	90
220	6149	chr1	120061322	120061303	-	33.84	29.2	>>	0	0	90
221	3062	chr7	75910166	75910147	+	33.8	57.6	>>	0	0	90
222	1765	chr4	98702698	98702679	-	33.78	31.62	>>	0	0	90
223	1502	chr3	146185137	146185118	+	33.62	52.6	>>	0	0	90
224	2004	chr4	151157152	151157133	+	33.53	59.38	>>	0	0	90
225	2144	chr5	43391861	43391842	-	33.5	21.5	>>	0	0	90
226	5001	chr1	93856511	93856492	-	33.47	26.19	>>	0	0	90
227	6007	chr1	59605843	59605824	+	33.47	40.3	>>	0	0	90
228	6096	chr1	84438580	84438561	+	33.44	23.31	>>	0	0	90
229	5291	chr1	50943824	50943805	-	33.28	38.56	>>	0	0	90
230	3103	chr7	83550335	83550316	-	33.2	30.12	>>	0	0	90
231	2770	chr6	117167008	117166989	+	33.03	30.3	>>	0	0	90
232	1552	chr4	12538791	12538772	+	33.0	21.84	>>	0	0	90
233	7231	chr1	47353079	47353060	+	32.84	24.58	>>	0	0	90
234	2039	chr5	12541496	12541477	-	32.72	22.56	>>	0	0	90
235	736	chr2	60721127	60721108	+	32.72	22.53	>>	0	0	90
236	4950	chr1	78838251	78838232	+	32.72	51.5	>>	0	0	90
237	3572	chr8	73356225	73356206	+	32.62	23.39	>>	0	0	90
238	5195	chr1	10598567	10598548	+	32.5	41.56	>>	0	0	90
239	7423	chr1	20345158	20345139	-	32.25	47.94	>>	0	0	90
240	6972	chr1	58909486	58909467	-	32.16	39.4	>>	0	0	90
241	4462	chr1	69655037	69655018	-	32.12	36.56	>>	0	0	90
242	1542	chr4	3967733	3967714	-	32.12	41.75	>>	0	0	90
243	6607	chr1	21192795	21192776	-	32.06	38.78	>>	0	0	90
244	4686	chr1	12291593	12291574	-	32.0	15.54	>>	0	0	90
245	5144	chr1	117385082	117385063	+	31.83	36.6	>>	0	0	90
246	5254	chr1	32292095	32292076	+	31.73	20.83	>>	0	0	90
247	1676	chr4	64833096	64833077	+	31.69	34.34	>>	0	0	90
248	5650	chr1	47301245	47301226	+	31.67	43.9	>>	0	0	90
249	234	chr1	89631957	89631938	-	31.56	45.38	>>	0	0	90
250	4074	chr9	69296601	69296582	-	31.53	38.66	>>	0	0	90
251	1248	chr3	53735364	53735345	+	31.28	24.5	>>	0	0	90
252	4400	chr1	45373471	45373452	-	31.2	37.7	>>	0	0	90
253	3637	chr8	91797725	91797706	+	31.19	30.23	>>	0	0	90
254	1733	chr4	88035662	88035643	+	31.06	19.66	>>	0	0	90
255	777	chr2	75151187	75151168	-	31.05	37.9	>>	0	0	90
256	6044	chr1	66791971	66791952	-	31.02	32.1	>>	0	0	90
257	821	chr2	93199062	93199043	-	30.9	51.25	>>	0	0	90
258	772	chr2	73551006	73550987	+	30.86	53.72	>>	0	0	90
259	5424	chr1	89451144	89451125	-	30.81	40.1	>>	0	0	90
260	6722	chr1	66086729	66086710	-	30.81	33.7	>>	0	0	90
261	6137	chr1	114791647	114791628	-	30.72	37.2	>>	0	0	90
262	1609	chr4	43420547	43420528	-	30.61	34.5	>>	0	0	90
263	224	chr1	87447687	87447668	+	30.56	32.53	>>	0	0	90
264	6284	chr1	55306471	55306452	+	30.56	24.06	>>	0	0	90
265	6490	chr1	97667578	97667559	+	30.52	37.12	>>	0	0	90
266	581	chr2	16359548	16359529	+	30.47	16.92	>>	0	0	90
267	5876	chr1	8356099	8356080	+	30.42	51.06	>>	0	0	90
268	1184	chr3	19894816	19894797	-	30.38	33.66	>>	0	0	90
269	5282	chr1	43813750	43813731	-	30.34	24.06	>>	0	0	90
270	618	chr2	27770378	27770359	+	30.12	46.8	>>	0	0	90
271	6701	chr1	48675836	48675817	-	30.12	28.97	>>	0	0	90
272	4329	chr1	13016733	13016714	+	30.1	53.44	>>	0	0	90
273	784	chr2	76367359	76367340	+	30.05	30.6	>>	0	0	90
274	868	chr2	115515230	115515211	+	30.05	12.29	>>	0	0	90
275	7417	chr1	16785108	16785089	-	30.03	27.4	>>	0	0	90
276	1313	chr3	78948444	78948425	+	30.03	29.16	>>	0	0	90
277	64	chr1	37250876	37250857	-	29.94	25.45	>>	0	0	90
278	7316	chr1	74431409	74431390	+	29.94	28.48	>>	0	0	90
279	74	chr1	38787652	38787633	-	29.89	46.22	>>	0	0	90
280	1180	chr3	14874584	14874565	+	29.88	22.88	>>	0	0	90
281	4078	chr9	69505778	69505759	+	29.88	30.58	>>	0	0	90
282	4539	chr1	84450913	84450894	-	29.77	31.7	>>	0	0	90
283	1119	chr2	172216047	172216028	-	29.77	65.06	>>	0	0	90
284	4575	chr1	97712895	97712876	+	29.72	22.83	>>	0	0	90
285	1	chr1	4770074	4770055	+	29.72	39.66	>>	0	0	90
286	5287	chr1	50301580	50301561	-	29.69	16.55	>>	0	0	90
287	6444	chr1	85266923	85266904	+	29.69	42.06	>>	0	0	90
288	1717	chr4	85403030	85403011	+	29.62	27.23	>>	0	0	90
289	2703	chr6	97526370	97526351	-	29.53	31.17	>>	0	0	90
290	3702	chr8	112046096	112046077	+	29.5	62.6	>>	0	0	90
291	5432	chr1	96311368	96311349	-	29.48	23.8	>>	0	0	90
292	271	chr1	93507239	93507220	-	29.45	32.5	>>	0	0	90
293	5547	chr1	21714927	21714908	+	29.4	37.72	>>	0	0	90
294	2547	chr6	49008180	49008161	+	29.38	27.1	>>	0	0	90
295	6821	chr1	17749545	17749526	-	29.36	32.88	>>	0	0	90
296	2864	chr6	145360253	145360234	+	29.34	33.62	>>	0	0	90
297	2886	chr7	17066630	17066611	-	29.27	41.75	>>	0	0	90
298	5384	chr1	81788850	81788831	-	29.25	32.47	>>	0	0	90
299	3274	chr7	129649172	129649153	+	29.19	42.88	>>	0	0	90
300	6129	chr1	104039053	104039034	+	29.17	41.16	>>	0	0	90
301	5615	chr1	41634744	41634725	-	29.08	40.84	>>	0	0	90
302	3318	chr7	138835232	138835213	-	29.02	47.88	>>	0	0	90
303	6487	chr1	97195797	97195778	+	28.92	38.5	>>	0	0	90
304	297	chr1	119087737	119087718	+	28.89	50.28	>>	0	0	90
305	1721	chr4	85819373	85819354	-	28.86	29.28	>>	0	0	90
306	4712	chr1	30657307	30657288	-	28.86	6.477	>>	0	0	90
307	2160	chr5	49369245	49369226	+	28.66	27.94	>>	0	0	90
308	2744	chr6	106805067	106805048	+	28.61	20.38	>>	0	0	90
309	2504	chr6	31660958	31660939	+	28.53	52.9	>>	0	0	90
310	5187	chr1	8306749	8306730	-	28.48	47.94	>>	0	0	90
311	5625	chr1	42822785	42822766	-	28.47	44.4	>>	0	0	90
312	6247	chr1	34968778	34968759	+	28.4	27.94	>>	0	0	90
313	3044	chr7	68369859	68369840	+	28.38	58.97	>>	0	0	90
314	6415	chr1	80266443	80266424	+	28.33	34.62	>>	0	0	90
315	2736	chr6	102171110	102171091	+	28.19	24.06	>>	0	0	90
316	6729	chr1	72605273	72605254	-	28.11	17.7	>>	0	0	90
317	7290	chr1	65490506	65490487	+	28.06	33.94	>>	0	0	90
318	1260	chr3	55373775	55373756	+	28.0	19.75	>>	0	0	90
319	114	chr1	53927814	53927795	-	27.97	28.48	>>	0	0	90
320	1058	chr2	160368066	160368047	-	27.95	21.97	>>	0	0	90
321	4392	chr1	42295232	42295213	-	27.94	37.8	>>	0	0	90
322	3210	chr7	116040411	116040392	-	27.9	26.19	>>	0	0	90
323	4606	chr1	116197535	116197516	-	27.81	28.58	>>	0	0	90
324	2044	chr5	20773533	20773514	-	27.81	20.77	>>	0	0	90
325	5382	chr1	80725012	80724993	-	27.73	38.97	>>	0	0	90
326	6318	chr1	66899881	66899862	-	27.6	21.5	>>	0	0	90
327	7130	chr1	16822208	16822189	-	27.56	13.28	>>	0	0	90
328	7120	chr1	14503254	14503235	-	27.55	19.48	>>	0	0	90
329	2252	chr5	98344786	98344767	+	27.44	28.3	>>	0	0	90
330	4500	chr1	77517236	77517217	+	27.39	30.44	>>	0	0	90
331	94	chr1	44741472	44741453	-	27.38	6.344	>>	0	0	90
332	2822	chr6	127945983	127945964	-	27.28	24.97	>>	0	0	90
333	6695	chr1	42914955	42914936	-	27.27	20.78	>>	0	0	90
334	7209	chr1	39137558	39137539	+	27.11	15.805	>>	0	0	90
335	5621	chr1	42575907	42575888	+	27.11	22.34	>>	0	0	90
336	574	chr2	13278209	13278190	+	27.06	48.53	>>	0	0	90
337	7219	chr1	43836585	43836566	-	27.06	22.66	>>	0	0	90
338	1828	chr4	114647896	114647877	+	27.05	26.58	>>	0	0	90
339	6697	chr1	44149214	44149195	-	27.03	37.28	>>	0	0	90
340	5838	chr1	109776299	109776280	+	27.02	27.47	>>	0	0	90
341	7459	chr1	30217515	30217496	+	27.0	44.25	>>	0	0	90
342	2600	chr6	61316075	61316056	+	26.94	38.16	>>	0	0	90
343	7031	chr1	78598832	78598813	+	26.92	37.16	>>	0	0	90
344	872	chr2	117231457	117231438	-	26.88	23.62	>>	0	0	90
345	1829	chr4	115101816	115101797	+	26.84	34.88	>>	0	0	90
346	4427	chr1	57448131	57448112	-	26.8	44.97	>>	0	0	90
347	5852	chr1	113046665	113046646	+	26.77	22.72	>>	0	0	90
348	1823	chr4	110022447	110022428	-	26.58	43.47	>>	0	0	90
349	3158	chr7	101653829	101653810	+	26.5	47.97	>>	0	0	90
350	2192	chr5	67756338	67756319	+	26.5	26.55	>>	0	0	90
351	1280	chr3	62192717	62192698	-	26.5	17.1	>>	0	0	90
352	4337	chr1	17728146	17728127	-	26.45	14.96	>>	0	0	90
353	2126	chr5	37752557	37752538	-	26.33	30.73	>>	0	0	90
354	135	chr1	60961316	60961297	-	26.3	26.22	>>	0	0	90
355	6990	chr1	68176981	68176962	+	26.27	18.84	>>	0	0	90
356	2956	chr7	37357871	37357852	-	26.2	67.6	>>	0	0	90
357	1591	chr4	32572316	32572297	-	26.16	44.75	>>	0	0	90
358	1759	chr4	96696741	96696722	+	26.12	32.22	>>	0	0	90
359	1821	chr4	109729491	109729472	-	26.06	50.3	>>	0	0	90
360	4595	chr1	111977780	111977761	+	25.78	32.1	>>	0	0	90
361	2153	chr5	45424489	45424470	-	25.73	30.9	>>	0	0	90
362	741	chr2	61494577	61494558	-	25.72	22.25	>>	0	0	90
363	2479	chr6	13287046	13287027	+	25.69	21.62	>>	0	0	90
364	4261	chr9	116060829	116060810	+	25.66	36.5	>>	0	0	90
365	3424	chr8	17537753	17537734	-	25.64	36.44	>>	0	0	90
366	4111	chr9	77781636	77781617	-	25.62	27.94	>>	0	0	90
367	6166	chr1	5106460	5106441	-	25.56	29.45	>>	0	0	90
368	7079	chr1	93141334	93141315	-	25.53	33.03	>>	0	0	90
369	2705	chr6	97759520	97759501	+	25.52	17.88	>>	0	0	90
370	3730	chr8	119384750	119384731	-	25.47	45.94	>>	0	0	90
371	2659	chr6	88113322	88113303	+	25.38	41.75	>>	0	0	90
372	6519	chr1	101984527	101984508	-	25.38	56.7	>>	0	0	90
373	3527	chr8	54493335	54493316	-	25.34	39.7	>>	0	0	90
374	3823	chr9	24119622	24119603	+	25.33	14.83	>>	0	0	90
375	1235	chr3	50077169	50077150	-	25.31	24.22	>>	0	0	90
376	1629	chr4	47419767	47419748	+	25.23	44.03	>>	0	0	90
377	783	chr2	76115910	76115891	+	25.22	28.97	>>	0	0	90
378	6321	chr1	67174759	67174740	+	25.2	12.74	>>	0	0	90
379	3778	chr8	125574509	125574490	+	25.17	12.85	>>	0	0	90
380	414	chr1	161737065	161737046	-	25.11	39.75	>>	0	0	90
381	1335	chr3	85571455	85571436	-	25.1	9.7	>>	0	0	90
382	7132	chr1	19577078	19577059	-	25.02	27.28	>>	0	0	90
383	7466	chr1	36083087	36083068	-	25.0	29.4	>>	0	0	90
384	3717	chr8	115709616	115709597	-	24.98	9.14	>>	0	0	90
385	4639	chr1	126330794	126330775	-	24.84	24.02	>>	0	0	90
