SCD_h1_m0_t0	SCD_h1_m0_t1	SCD_h1_m0_t2	SCD_h1_m0_t3	SCD_h1_m0_t4	SCD_h1_m0_t5	chrom	end	rel_disruption_end	rel_disruption_start	start	type	window_end	window_start	miss_per	ins16_min	cont_sum	raw_count
10.04	10.08	5.75	5.477	6.414	5.312	chr1	44200000	628736	626688	44190000	down11	44851504	43540784	20.293043633558664	-0.248589813709259	113785.69041893198	1483666
2.389	1.9795	1.865	1.94	1.765	1.544	chr18	75020000	620544	618496	75010000	down15	75671504	74360784	4.242520965615252	-0.5371299982070923	132515.04692685782	2480477
1.702	2.049	2.004	1.835	1.861	1.505	chr1	45210000	632832	630784	45200000	down9	45861504	44550784	22.710881600796444	-0.129641979932785	75501.69434475708	1372638
14.18	17.05	16.5	16.25	16.55	14.2	chr1	46100000	628736	626688	46090000	down11	46751504	45440784	33.92496836633494	-0.1092950776219368	78834.25142119566	874995
4.023	4.473	3.156	2.98	3.352	2.805	chr1	46310000	641024	638976	46300000	down5	46961504	45650784	37.36496319855302	-0.1526164412498474	61054.31689240914	914616
14.87	15.96	7.207	6.562	8.72	7.086	chr1	46770000	659456	657408	46760000	tad5	47421504	46110784	38.28718428082335	-0.3112108707427978	60240.97526399896	918680
2.52	3.238	2.809	2.701	2.744	2.338	chr1	47250000	661504	659456	47240000	up1	47901504	46590784	23.39485273721449	-0.2176869362592697	71844.82162416897	1277528
5.504	6.47	2.809	2.633	3.754	2.896	chr1	47760000	673792	671744	47750000	up7	48411504	47100784	21.67922513669923	-0.170232892036438	66947.88737460342	1263590
1.053	1.203	0.732	0.675	0.792	0.6733	chr1	48330000	647168	645120	48320000	down2	48981504	47670784	25.76481272490301	-0.0656418353319168	64528.28373916328	1176530
3.785	4.664	1.832	1.965	2.662	2.127	chr1	48830000	626688	624640	48820000	down12	49481504	48170784	22.710881600796444	-0.0746712833642959	66377.94203814396	1237425
6.152	7.54	2.69	2.777	4.133	3.256	chr1	49330000	667648	665600	49320000	up4	49981504	48670784	13.90475321941414	-0.0857297778129577	73812.38775640428	1272693
3.959	5.137	11.17	9.805	8.21	6.742	chr1	50930000	655360	653312	50920000	tad3	51581504	50270784	10.986476370697156	-0.2038339674472808	89501.00182432568	1682201
10.12	10.32	9.29	9.31	9.375	8.28	chr1	54990000	628736	626688	54980000	down11	55641504	54330784	6.517864946099275	-0.1292721927165985	102097.73331086924	2082567
11.016	10.875	7.625	7.453	8.445	7.184	chr1	55190000	663552	661504	55180000	up2	55841504	54530784	6.517864946099275	-0.264614850282669	119990.0059887548	2118440
1.218	1.332	1.504	1.571	1.415	1.261	chr18	75760000	620544	618496	75750000	down15	76411504	75100784	3.4779932286857496	-0.323766827583313	104731.6697440909	2769151
9.16	9.664	10.52	10.375	9.805	8.48	chr1	58390000	665600	663552	58380000	up3	59041504	57730784	8.019561574501557	-0.4011315703392029	102158.51420211398	1956131
12.55	13.47	15.22	14.01	14.15	11.945	chr1	58990000	679936	677888	58980000	up10	59641504	58330784	8.393085811778743	-0.1496346890926361	97317.38152877512	2331431
10.58	10.33	17.08	17.72	14.64	13.01	chr1	59700000	645120	643072	59690000	down3	60351504	59040784	1.1661707875927636	-0.3306006491184234	136432.3613193271	2671194
4.05	3.984	3.104	3.033	3.123	2.623	chr1	63050000	647168	645120	63040000	down2	63701504	62390784	5.004008830827339	-0.198820561170578	119564.1075406248	2330816
8.08	7.543	9.07	9.64	8.29	7.438	chr1	64530000	673792	671744	64520000	up7	65181504	63870784	8.019561574501557	-0.4273633360862732	132186.24378701134	2179952
1.18	1.282	1.254	1.189	1.208	1.038	chr1	65630000	622592	620544	65620000	down14	66281504	64970784	26.43510443859269	-0.1243763267993927	101561.52187714388	1401665
1.03	1.264	0.936	0.8887	0.9946	0.8027	chr15	48080000	620544	618496	48070000	down15	48731504	47420784	10.986476370697156	-0.2396604865789413	84144.35640648247	1565358
10.78	13.16	10.86	10.195	11.44	9.17	chr1	67550000	653312	651264	67540000	tad2	68201504	66890784	18.543217476222505	-0.1495435833930969	79863.43662817862	1393133
10.7	12.28	4.36	3.998	6.87	5.418	chr1	68460000	669696	667648	68450000	up5	69111504	67800784	12.81609916061542	-0.1013315469026565	85015.28855397088	1471227
7.4	8.7	4.605	4.35	5.793	4.72	chr1	70760000	661504	659456	70750000	up1	71411504	70100784	10.986476370697156	-0.0897209346294403	87064.14814231424	1788051
11.35	11.23	11.69	10.055	9.75	7.85	chr1	71110000	653312	651264	71100000	tad2	71761504	70450784	8.019561574501557	-0.1568128913640976	97648.0119330702	1945384
17.89	18.52	17.61	17.56	17.17	14.81	chr1	71550000	643072	641024	71540000	down4	72201504	70890784	4.242520965615252	-0.3868365287780761	112789.9218312586	2224725
4.64	4.543	4.664	4.53	4.324	3.791	chr1	73870000	653312	651264	73860000	tad2	74521504	73210784	6.894429055093874	-0.329136312007904	129802.77070981028	2370279
17.9	17.67	26.1	26.36	23.05	20.02	chr1	74450000	663552	661504	74440000	up2	75101504	73790784	1.5533744475983111	-0.0899556875228881	90820.27703987667	2753653
0.8223	0.7603	1.271	1.275	1.032	0.9053	chr1	75320000	622592	620544	75310000	down14	75971504	74660784	13.179743814811015	-0.0835360586643219	111363.71645454828	2583901
1.083	1.201	0.631	0.605	0.7734	0.6406	chr1	76700000	659456	657408	76690000	tad5	77351504	76040784	10.618271908925443	-0.1018561571836471	75450.81192899075	1925966
9.64	10.65	12.09	11.36	11.36	9.72	chr1	78200000	677888	675840	78190000	up9	78851504	77540784	4.623644882185972	-0.1433981657028198	113442.5157373005	1870185
8.39	9.65	7.97	7.527	8.12	6.645	chr1	78500000	671744	669696	78490000	up6	79151504	77840784	9.509098716034185	-0.2085006833076477	112072.8332694064	1714735
1.418	1.347	2.174	2.264	1.794	1.628	chr18	77050000	620544	618496	77040000	down15	77701504	76390784	6.517864946099275	-0.2623412013053894	122708.5312372735	2443463
4.51	5.13	5.05	4.79	4.777	4.027	chr1	80780000	649216	647168	80770000	down1	81431504	80120784	7.270233196159122	-0.2397229075431823	111388.42291009016	1725174
5.082	6.023	3.549	3.305	4.227	3.537	chr1	84120000	669696	667648	84110000	up5	84771504	83460784	13.90475321941414	-0.0860572904348373	91217.98004318148	1906708
18.66	17.14	21.73	21.58	20.4	17.6	chr1	86060000	665600	663552	86050000	up3	86711504	85400784	24.4151096823714	-0.1770385801792144	79914.33214036569	2212326
9.414	10.63	17.94	17.48	14.87	13.266	chr2	65370000	618496	616448	65360000	down16	66021504	64710784	6.894429055093874	-0.2182161808013916	104432.46103636875	1859745
12.13	12.7	16.56	16.17	14.97	13.03	chr1	87080000	671744	669696	87070000	up6	87731504	86420784	4.623644882185972	-0.1825447082519531	125285.69655180271	2810490
4.285	2.965	1.884	1.883	1.888	1.654	chr1	88050000	645120	643072	88040000	down3	88701504	87390784	8.019561574501557	-0.1545524597167968	105678.831236539	2375805
0.4392	0.5015	0.5635	0.5117	0.498	0.4124	chr15	50340000	620544	618496	50330000	down15	50991504	49680784	21.67922513669923	-0.2013317495584488	81367.00735021176	1542962
10.75	11.516	6.453	6.043	7.734	6.39	chr1	90010000	663552	661504	90000000	up2	90661504	89350784	2.7104256200388344	-0.3762174844741821	115218.99679662989	2618088
15.195	16.83	16.8	16.06	16.58	14.234	chr1	90900000	667648	665600	90890000	up4	91551504	90240784	5.004008830827339	-0.1228032559156417	102700.56861827792	2245159
13.52	14.15	14.625	14.336	14.555	12.52	chr1	92920000	634880	632832	92910000	down8	93571504	92260784	5.004008830827339	-0.3216040730476379	97674.4646721629	2537679
7.21	8.53	6.43	6.523	6.785	5.68	chr1	94160000	638976	636928	94150000	down6	94811504	93500784	40.71300191131934	-0.1834570467472076	84703.3396148751	1394000
1.126	1.238	0.7197	0.649	0.808	0.6997	chr1	94730000	671744	669696	94720000	up6	95381504	94070784	22.75238037109375	-0.1130507290363311	66510.63700642902	1361086
5.57	7.41	6.42	6.06	6.63	5.277	chr1	95800000	628736	626688	95790000	down11	96451504	95140784	22.3677560806934	-0.1741715669631958	74655.37006505896	1206602
0.9985	1.214	0.87	0.8657	0.9624	0.7534	chr17	20080000	620544	618496	20070000	down15	20731504	19420784	16.06154220291904	-0.1217001155018806	78883.16073470472	1364829
1.117	1.312	0.74	0.714	0.909	0.742	chr1	99730000	636928	634880	99720000	down7	100381504	99070784	17.484202166668567	-0.2585430145263672	77390.7000728661	1296432
14.65	17.48	5.62	5.836	9.07	6.957	chr1	100550000	667648	665600	100540000	up4	101201504	99890784	18.89470264354844	-0.1088972836732864	80659.52261442486	1335425
7.543	9.19	3.842	3.959	5.547	4.277	chr1	100990000	636928	634880	100980000	down7	101641504	100330784	27.10235628056496	-0.1152235120534896	65380.62030869918	1224444
1.475	1.707	0.981	0.8765	1.023	0.8496	chr1	101370000	669696	667648	101360000	up5	102021504	100710784	27.766568250819816	-0.0969637930393219	61677.122842132376	1120788
2.027	2.373	0.997	0.984	1.355	1.065	chr1	102090000	673792	671744	102080000	up7	102741504	101430784	25.76481272490301	-0.0917519479990005	69654.05343744466	1286908
3.367	4.227	2.016	2.0	2.645	2.088	chr1	103120000	679936	677888	103110000	up10	103771504	102460784	18.89470264354844	-0.0741930305957794	72189.18113528154	1379517
1.902	1.916	1.995	2.004	1.747	1.61	chr2	66820000	618496	616448	66810000	down16	67471504	66160784	16.41834714575045	-0.2526514530181885	86533.11015932697	1439081
2.506	2.764	1.384	1.195	1.102	0.9185	chr1	108100000	669696	667648	108090000	up5	108751504	107440784	18.89470264354844	-0.0604798048734664	71284.59486569633	1348006
1.199	1.35	0.609	0.6255	0.693	0.564	chr1	109410000	626688	624640	109400000	down12	110061504	108750784	35.186515129061554	-0.0715530812740325	54691.5593323611	1101248
10.93	13.13	6.832	6.777	8.66	6.688	chr1	110010000	647168	645120	110000000	down2	110661504	109350784	31.68800276628326	-0.2995655238628387	68685.57082207689	1057064
1.377	1.556	1.241	1.094	1.272	1.014	chr1	110420000	669696	667648	110410000	up5	111071504	109760784	20.293043633558664	-0.0823049768805503	74507.16115151782	1213201
6.066	7.465	3.406	3.217	4.688	3.564	chr1	113190000	630784	628736	113180000	down10	113841504	112530784	16.77439212065251	-0.1456448584794998	74692.41458414814	1311502
2.568	2.928	1.045	1.023	1.507	1.239	chr1	113760000	632832	630784	113750000	down9	114411504	113100784	20.64072896123784	-0.0896549746394157	67880.35853692237	1392807
7.71	9.76	4.855	4.676	6.367	5.027	chr1	114190000	653312	651264	114180000	tad2	114841504	113530784	23.053247152970144	-0.0915135368704795	67970.56064996992	1276772
7.95	9.26	3.455	3.121	4.594	3.549	chr1	115030000	677888	675840	115020000	up9	115681504	114370784	17.837967237782564	-0.1356953680515289	76410.91338077141	1274794
14.01	13.66	21.19	21.67	18.19	16.0	chr1	118520000	647168	645120	118510000	down2	119171504	117860784	22.3677560806934	-0.1862616837024688	110288.74478033952	1889697
9.22	9.06	7.367	7.457	8.02	6.98	chr1	119510000	632832	630784	119500000	down9	120161504	118850784	1.9398181396745056	-0.2109808921813964	101964.89152887552	2836297
1.031	1.053	0.965	0.9272	0.938	0.814	chr1	97710000	618496	616448	97700000	down16	98361504	97050784	16.06154220291904	-0.3207284212112427	99101.72073836708	1353784
8.06	10.3	6.164	5.984	7.355	5.8	chr1	122930000	634880	632832	122920000	down8	123581504	122270784	12.451694538490475	-0.1338001936674118	90177.70898545525	1510176
3.871	4.914	1.938	1.787	2.586	2.03	chr1	123380000	659456	657408	123370000	tad5	124031504	122720784	9.879583081593957	-0.1310994178056717	80497.50566364895	1532408
12.21	14.836	6.184	6.152	8.14	6.465	chr1	124100000	663552	661504	124090000	up2	124751504	123440784	8.393085811778743	-0.2689357399940491	84362.53243986156	1587068
3.236	2.457	3.725	3.822	3.23	2.781	chr17	23830000	620544	618496	23820000	down15	24481504	23170784	19.59539307441226	-0.0625820904970169	94248.11719256765	2127312
8.86	10.89	5.594	5.52	7.234	5.77	chr1	129340000	634880	632832	129330000	down8	129991504	128680784	10.249307479224376	-0.1168000251054763	85028.72414165121	1699914
4.113	4.87	4.31	4.523	4.26	3.5	chr1	130410000	647168	645120	130400000	down2	131061504	129750784	15.345652413468152	-0.2424413859844207	103404.48351049464	1607707
19.08	18.6	30.38	30.16	26.48	22.75	chr1	131920000	677888	675840	131910000	up9	132571504	131260784	2.7104256200388344	-0.3225419521331787	98945.04849042924	2978396
11.45	11.195	15.45	15.38	14.01	12.25	chr1	134640000	659456	657408	134630000	tad5	135291504	133980784	3.4779932286857496	-0.2293315082788467	95750.00919913968	3012085
14.6	14.48	21.11	21.34	18.9	16.55	chr1	134960000	673792	671744	134950000	up7	135611504	134300784	1.1661707875927636	-0.4137101173400879	103630.7812921288	3115865
0.6646	0.7373	0.8022	0.757	0.6997	0.602	chr10	64080000	618496	616448	64070000	down16	64731504	63420784	11.720605390452524	-0.3510067760944366	86974.6414830669	1647993
17.86	18.08	25.75	25.61	23.48	20.56	chr1	135400000	628736	626688	135390000	down11	136051504	134740784	0.7782071596578624	-0.1771195530891418	99567.01165825172	2989749
9.16	8.92	12.47	12.55	11.41	9.97	chr1	135810000	638976	636928	135800000	down6	136461504	135150784	0.3894835637936079	-0.2912145853042602	95289.6680423777	3067076
0.9336	0.808	0.6846	0.681	0.66	0.5864	chr1	136530000	624640	622592	136520000	down13	137181504	135870784	1.1661707875927636	-0.2912608087062835	109030.50134863202	2753813
17.84	18.23	12.19	11.43	13.15	11.23	chr1	136770000	663552	661504	136760000	up2	137421504	136110784	4.623644882185972	-0.1395406275987625	109501.3792185917	2487183
11.63	14.56	14.99	14.84	14.16	11.66	chr1	138090000	655360	653312	138080000	tad3	138741504	137430784	9.509098716034185	-0.2571572065353393	104660.57169211024	1682992
16.19	17.56	13.76	12.9	14.914	12.75	chr1	138840000	655360	653312	138830000	tad3	139491504	138180784	8.393085811778743	-0.2252474576234817	101717.01820602824	1771241
14.01	16.56	18.3	18.69	16.69	14.1	chr1	139410000	655360	653312	139400000	tad3	140061504	138750784	25.091481139495915	-0.3206937313079834	94590.07834554478	1323954
2.725	3.416	1.582	1.622	2.14	1.699	chr1	141590000	659456	657408	141580000	tad5	142241504	140930784	13.90475321941414	-0.1181337833404541	76713.8666588488	1239861
1.469	1.88	0.8223	0.8613	1.179	0.9126	chr1	141900000	632832	630784	141890000	down9	142551504	141240784	13.542628501077257	-0.1552029103040695	77661.7793966134	1235090
5.96	6.73	7.668	7.023	7.11	5.94	chr1	144160000	673792	671744	144150000	up7	144811504	143500784	17.484202166668567	-0.1251742541790008	99461.84896905496	1419065
1.638	1.918	2.71	2.6	2.342	2.0	chr15	54490000	620544	618496	54480000	down15	55141504	53830784	13.179743814811015	-0.1968061923980713	85796.99109406694	1756551
5.01	5.918	2.475	2.48	3.475	2.8	chr1	145430000	653312	651264	145420000	tad2	146081504	144770784	17.129677127625214	-0.1070068776607513	72672.58365745383	1221743
3.205	3.807	1.592	1.6	2.223	1.737	chr1	146520000	655360	653312	146510000	tad3	147171504	145860784	23.73569835352948	-0.1158200949430465	68213.26198076928	1240673
5.105	5.9	2.29	2.197	3.059	2.488	chr1	147290000	675840	673792	147280000	up8	147941504	146630784	21.33381971280812	-0.1167427450418472	69931.04372548063	1175450
1.931	2.33	1.61	1.554	1.727	1.519	chr1	148080000	677888	675840	148070000	up9	148731504	147420784	29.41379873769327	-0.0981295630335807	62175.82083656345	1072990
3.37	3.887	2.875	2.596	3.125	2.582	chr1	149000000	653312	651264	148990000	tad2	149651504	148340784	20.293043633558664	-0.0932197794318199	70992.44848859352	1275930
10.31	12.375	7.45	6.973	8.93	7.207	chr1	149300000	671744	669696	149290000	up6	149951504	148640784	16.06154220291904	-0.1424348652362823	73756.24116351192	1423698
17.11	18.08	29.55	32.34	23.5	22.02	chr1	150370000	663552	661504	150360000	up2	151021504	149710784	10.249307479224376	-0.4794341921806335	133542.71572301525	1696106
9.23	8.58	7.98	7.535	8.16	7.01	chr1	151430000	673792	671744	151420000	up7	152081504	150770784	9.509098716034185	-0.2797559797763824	115122.08730626995	2056284
10.65	9.33	14.87	14.99	12.79	11.45	chr1	151770000	645120	643072	151760000	down3	152421504	151110784	5.383612811539353	-0.2956225872039795	131799.61824720533	2115672
7.27	6.91	12.38	12.164	10.34	9.17	chr1	153490000	657408	655360	153480000	tad4	154141504	152830784	3.0945894083269683	-0.3680580854415893	139018.04022512378	2677641
9.19	10.664	14.914	14.664	13.234	11.555	chr1	154220000	626688	624640	154210000	down12	154871504	153560784	6.517864946099275	-0.2506417036056518	131713.6675178338	2239972
6.89	6.824	7.566	7.77	7.41	6.555	chr1	156040000	671744	669696	156030000	up6	156691504	155380784	12.81609916061542	-0.2756133675575256	85504.57373016853	2104962
4.273	3.7	2.988	2.963	2.67	2.229	chr1	159230000	663552	661504	159220000	up2	159881504	158570784	6.140540869175321	-0.3931064307689667	124471.67329059036	1859937
1.138	1.05	2.74	2.914	1.946	1.886	chr6	99640000	618496	616448	99630000	down16	100291504	98980784	1.9398181396745056	-0.4137892723083496	120964.98029806724	2311737
5.816	5.285	6.133	6.188	5.55	4.79	chr1	162750000	649216	647168	162740000	down1	163401504	162090784	10.986476370697156	-0.269635260105133	103381.64179531384	1710503
9.75	11.31	10.516	9.914	10.23	8.766	chr1	163110000	641024	638976	163100000	down5	163761504	162450784	9.879583081593957	-0.2383350580930709	118764.92688058382	1778350
9.336	9.84	5.38	4.96	6.5	5.312	chr1	165190000	667648	665600	165180000	up4	165841504	164530784	12.451694538490475	-0.2858331501483917	94596.67882071323	1962968
7.32	7.086	10.4	10.98	8.945	7.754	chr1	166400000	638976	636928	166390000	down6	167051504	165740784	18.543217476222505	-0.4315548837184906	92318.33489263456	1887096
15.63	16.98	15.64	14.25	15.65	13.31	chr1	166780000	663552	661504	166770000	up2	167431504	166120784	18.89470264354844	-0.2376291155815124	88397.48309257485	1950106
15.83	15.24	17.2	16.72	16.7	14.9	chr1	167390000	641024	638976	167380000	down5	168041504	166730784	6.894429055093874	-0.2252794057130813	107110.06137543848	2174853
0.6016	0.669	0.547	0.525	0.4792	0.4167	chr13	102670000	620544	618496	102660000	down15	103321504	102010784	13.542628501077257	-0.5510707497596741	96972.49213698188	1707207
0.9355	0.7617	1.21	1.214	0.922	0.8325	chr3	54800000	618496	616448	54790000	down16	55451504	54140784	4.242520965615252	-0.278820127248764	108202.20771343162	1962468
7.72	8.26	4.344	3.797	4.23	3.465	chr1	168450000	663552	661504	168440000	up2	169101504	167790784	9.879583081593957	-0.17800372838974	79715.47612520997	1738967
0.821	0.7603	1.171	1.066	0.9253	0.8623	chr1	169510000	624640	622592	169500000	down13	170161504	168850784	10.249307479224376	-0.3727558851242065	109390.88287198052	1633071
17.28	18.14	24.45	24.8	21.38	19.08	chr1	170210000	669696	667648	170200000	up5	170861504	169550784	6.894429055093874	-0.3581970334053039	117125.63395831412	1850438
4.21	3.838	3.889	3.848	3.605	3.143	chr1	171080000	651264	649216	171070000	tad1	171731504	170420784	8.393085811778743	-0.1908145993947982	118730.21413696148	2229020
16.88	16.6	23.98	24.8	21.1	18.42	chr1	171520000	643072	641024	171510000	down4	172171504	170860784	13.179743814811015	-0.1629648208618164	164073.67510177434	2270562
17.2	15.38	18.97	18.92	17.5	15.36	chr1	172380000	645120	643072	172370000	down3	173031504	171720784	10.618271908925443	-0.3156516551971435	110757.1748640024	1993268
0.699	0.735	0.7734	0.7407	0.704	0.6265	chr1	175020000	624640	622592	175010000	down13	175671504	174360784	12.086529948436176	-0.2521697878837585	83957.59417520933	1612661
15.27	15.13	8.85	8.18	11.01	9.59	chr1	177260000	628736	626688	177250000	down11	177911504	176600784	6.140540869175321	-0.2279408425092697	100073.93260111296	1794760
15.91	16.0	17.12	17.77	16.11	14.08	chr1	177810000	657408	655360	177800000	tad4	178461504	177150784	24.4151096823714	-0.3648848533630371	109150.35988130311	1502338
0.6514	0.732	0.5063	0.4517	0.4888	0.4014	chr1	103120000	618496	616448	103110000	down16	103771504	102460784	18.89470264354844	-0.0741930305957794	72189.18113528154	1379517
18.69	18.05	20.44	19.9	19.83	17.22	chr1	179850000	669696	667648	179840000	up5	180501504	179190784	6.894429055093874	-0.268219381570816	119287.52066826484	2129339
10.05	8.83	12.64	12.55	11.61	9.89	chr1	180820000	651264	649216	180810000	tad1	181471504	180160784	2.7104256200388344	-0.1930670738220214	103183.10871843238	2701411
10.21	9.805	19.89	21.34	15.87	14.51	chr1	183300000	632832	630784	183290000	down9	183951504	182640784	23.39485273721449	-0.1481281816959381	94830.829448022	1825800
0.8813	0.7915	0.9824	0.9917	0.711	0.6396	chr1	184800000	622592	620544	184790000	down14	185451504	184140784	5.004008830827339	-0.3374128341674804	119614.77056151966	2025710
12.664	16.72	11.27	10.695	12.45	9.78	chr1	186130000	649216	647168	186120000	down1	186781504	185470784	7.270233196159122	-0.1672502011060714	79559.7790990406	2017110
4.62	5.223	3.568	3.326	3.66	3.086	chr1	187400000	626688	624640	187390000	down12	188051504	186740784	5.004008830827339	-0.2601071298122406	91236.23925294116	1936221
5.062	5.266	2.637	2.479	2.37	1.869	chr1	188010000	641024	638976	188000000	down5	188661504	187350784	3.0945894083269683	-0.1589366048574447	96235.34037847466	1865825
12.64	12.08	17.55	18.98	14.72	13.85	chr1	188980000	673792	671744	188970000	up7	189631504	188320784	7.645277369295016	-0.4154112935066223	113333.94619877638	1896294
14.26	15.39	8.95	8.5	10.664	9.1	chr1	189260000	653312	651264	189250000	tad2	189911504	188600784	6.894429055093874	-0.056748729199171	125465.52908599217	1921694
2.38	2.115	1.88	1.834	1.794	1.556	chr1	189640000	624640	622592	189630000	down13	190291504	188980784	6.517864946099275	-0.406787633895874	122419.56047504555	2006212
8.17	9.84	7.36	7.25	7.94	6.676	chr1	190180000	628736	626688	190170000	down11	190831504	189520784	3.4779932286857496	-0.2236898243427276	109421.50430131666	2129584
12.22	10.7	13.555	13.234	12.75	11.125	chr1	191580000	655360	653312	191570000	tad3	192231504	190920784	13.179743814811015	-0.3524819016456604	95820.49173387076	2178033
4.008	3.701	5.93	5.92	4.94	4.395	chr1	192150000	649216	647168	192140000	down1	192801504	191490784	16.06154220291904	-0.392224371433258	124769.88674720164	2024950
1.855	1.918	2.586	2.393	2.275	1.988	chr3	133080000	620544	618496	133070000	down15	133731504	132420784	10.249307479224376	-0.2761521935462951	103570.52444091043	1731041
